Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
"Ejerlejlighed EEjerlejlighed Dalvangsvej 13, 1. 3  2600 Glostrup",1.000.000 kr.,28-12-2022Fam. Salg,88 m² 11.364 kr/m²,3,1967,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kochsvej 5, st  2600 Glostrup",600.000 kr.,28-12-2022Fam. Salg,99 m² 6.061 kr/m²,3,1906,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kochsvej 5, 1  2600 Glostrup",600.000 kr.,28-12-2022Fam. Salg,73 m² 8.219 kr/m²,3,1906,,Aktuel værdi
Rækkehus RRækkehus Anemonevej 27  2600 Glostrup,3.800.000 kr.,22-12-2022Alm. Salg,136 m² 27.941 kr/m²,4,1974,-5%,Aktuel værdi
Villa VVilla Statenevej 17  2600 Glostrup,2.900.000 kr.,22-12-2022Alm. Salg,121 m² 23.967 kr/m²,4,1979,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Christiansvej 13, 2. th  2600 Glostrup",1.275.000 kr.,20-12-2022Alm. Salg,57 m² 22.368 kr/m²,2,1947,-9%,Aktuel værdi
Villa VVilla Blåmejsevej 1  2600 Glostrup,2.400.000 kr.,20-12-2022Alm. Salg,132 m² 16.667 kr/m²,7,1957,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Gyvelvej 18, 1. tv  2600 Glostrup",2.200.000 kr.,18-12-2022Alm. Salg,77 m² 28.571 kr/m²,3,1961,,Aktuel værdi
Villa VVilla Ejby Mosevej 143  2600 Glostrup,4.350.000 kr.,18-12-2022Alm. Salg,139 m² 31.295 kr/m²,5,1980,-7%,Aktuel værdi
Villa VVilla Falkevej 30  2600 Glostrup,4.253.000 kr.,15-12-2022Alm. Salg,133 m² 31.977 kr/m²,5,1939,,Aktuel værdi
Villa VVilla Rødkælkevej 47  2600 Glostrup,3.850.000 kr.,12-12-2022Alm. Salg,136 m² 28.309 kr/m²,5,1963,-8%,Aktuel værdi
Villa VVilla Ejbydalsvej 89  2600 Glostrup,3.800.000 kr.,12-12-2022Alm. Salg,178 m² 21.348 kr/m²,5,1972,-5%,Aktuel værdi
Villa VVilla Edithsvej 9  2600 Glostrup,4.200.000 kr.,12-12-2022Alm. Salg,142 m² 29.577 kr/m²,5,1934,-4%,Aktuel værdi
Villa VVilla Ingersvej 30  2600 Glostrup,3.695.000 kr.,09-12-2022Alm. Salg,87 m² 42.471 kr/m²,4,1937,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Brøndbyvestervej 20, st. 5  2600 Glostrup",1.575.000 kr.,07-12-2022Alm. Salg,72 m² 21.875 kr/m²,2,1961,-7%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Højvangsvej 30, st. tv  2600 Glostrup",1.850.000 kr.,07-12-2022Alm. Salg,62 m² 29.839 kr/m²,2,1934,-7%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Ørnebjergvej 12D, 2. th  2600 Glostrup",1.300.000 kr.,03-12-2022Alm. Salg,53 m² 24.528 kr/m²,2,1935,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Christiansvej 7, st. th  2600 Glostrup",871.330 kr.,01-12-2022Alm. Salg,79 m² 11.029 kr/m²,4,1947,,Aktuel værdi
Villa VVilla Byparkvej 121  2600 Glostrup,2.900.000 kr.,28-11-2022Alm. Salg,102 m² 28.431 kr/m²,4,1959,-9%,Aktuel værdi
Villa VVilla Byparkvej 121  2600 Glostrup,2.900.000 kr.,28-11-2022Alm. Salg,199 m² 14.573 kr/m²,6,2023,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Sofielundsvej 1C, st. tv  2600 Glostrup",1.600.000 kr.,27-11-2022Alm. Salg,51 m² 31.373 kr/m²,2,1939,,Aktuel værdi
Rækkehus RRækkehus Bovneager 25  2600 Glostrup,4.525.000 kr.,22-11-2022Alm. Salg,135 m² 33.519 kr/m²,5,2012,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Brøndbyvestervej 18, 1. k  2600 Glostrup",1.900.000 kr.,22-11-2022Alm. Salg,80 m² 23.750 kr/m²,3,1961,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hovedvejen 146, 3. k  2600 Glostrup",1.470.000 kr.,22-11-2022Alm. Salg,68 m² 21.618 kr/m²,2,1966,-2%,Aktuel værdi
Villa VVilla Falkevej 25  2600 Glostrup,3.525.000 kr.,22-11-2022Alm. Salg,99 m² 35.606 kr/m²,4,1938,-5%,Aktuel værdi
Villa VVilla Valmuevej 10  2600 Glostrup,2.550.000 kr.,22-11-2022Alm. Salg,114 m² 22.368 kr/m²,3,1930,-2%,Aktuel værdi
Villa VVilla Blåmejsevej 26  2600 Glostrup,2.910.000 kr.,14-11-2022Alm. Salg,96 m² 30.313 kr/m²,3,1962,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vestergårdsvej 23, 1. 59  2600 Glostrup",1.475.000 kr.,13-11-2022Alm. Salg,53 m² 27.830 kr/m²,1,1970,-5%,Aktuel værdi
Villa VVilla Ydergrænsen 16  2600 Glostrup,3.900.000 kr.,12-11-2022Alm. Salg,177 m² 22.034 kr/m²,5,1969,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Brøndbyvestervej 10, 2. q  2600 Glostrup",1.875.000 kr.,06-11-2022Alm. Salg,80 m² 23.438 kr/m²,3,1961,,Aktuel værdi
Villa VVilla Lunddalsvej 27  2600 Glostrup,3.000.000 kr.,06-11-2022Alm. Salg,78 m² 38.462 kr/m²,5,1931,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Dalvangsvej 13, 1. 1  2600 Glostrup",1.150.000 kr.,03-11-2022Alm. Salg,44 m² 26.136 kr/m²,1,1967,-12%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nordre Ringvej 10, 2. th  2600 Glostrup",1.395.000 kr.,02-11-2022Alm. Salg,57 m² 24.474 kr/m²,2,1940,,Aktuel værdi
Rækkehus RRækkehus Bovneager 83  2600 Glostrup,3.600.000 kr.,01-11-2022Alm. Salg,106 m² 33.962 kr/m²,4,2013,-5%,Aktuel værdi
Villa VVilla Spurvevej 9  2600 Glostrup,3.800.000 kr.,01-11-2022Alm. Salg,87 m² 43.678 kr/m²,3,1955,-4%,Aktuel værdi
Rækkehus RRækkehus Krogengen 13  2600 Glostrup,3.650.000 kr.,30-10-2022Alm. Salg,85 m² 42.941 kr/m²,3,2003,-5%,Aktuel værdi
Rækkehus RRækkehus Ejbysvinget 42  2600 Glostrup,4.050.000 kr.,30-10-2022Alm. Salg,135 m² 30.000 kr/m²,5,2008,-3%,Aktuel værdi
"Rækkehus RRækkehus Stisager 7B, st  2600 Glostrup",2.336.000 kr.,29-10-2022Fam. Salg,150 m² 15.573 kr/m²,4,2015,,Aktuel værdi
Rækkehus RRækkehus Stensbjerg 44  2600 Glostrup,3.600.000 kr.,26-10-2022Fam. Salg,131 m² 27.481 kr/m²,4,2003,,Aktuel værdi
Villa VVilla Peders Kilde 8  2600 Glostrup,2.440.960 kr.,13-10-2022Alm. Salg,152 m² 16.059 kr/m²,5,1969,,Aktuel værdi
Villa VVilla Tornskadevej 7  2600 Glostrup,7.640.000 kr.,11-10-2022Alm. Salg,186 m² 41.075 kr/m²,6,2019,-4%,Aktuel værdi
Villa VVilla Langagervej 24  2600 Glostrup,2.125.000 kr.,11-10-2022Fam. Salg,202 m² 10.520 kr/m²,6,1956,,Aktuel værdi
