Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Purkærvej 30  9490 Pandrup,1.465.000 kr.,29-12-2022Alm. Salg,113 m² 12.965 kr/m²,5,1912,-4%,Aktuel værdi
Rækkehus RRækkehus Vesterhavsparken 8  9492 Blokhus,1.675.000 kr.,28-12-2022Andet,100 m² 16.750 kr/m²,4,2022,,Aktuel værdi
Rækkehus RRækkehus Vesterhavsparken 58  9492 Blokhus,1.575.000 kr.,28-12-2022Andet,85 m² 18.529 kr/m²,4,2022,-12%,Aktuel værdi
Rækkehus RRækkehus Vesterhavsparken 28  9492 Blokhus,1.525.000 kr.,28-12-2022Andet,85 m² 17.941 kr/m²,4,2022,,Aktuel værdi
Rækkehus RRækkehus Vesterhavsparken 30  9492 Blokhus,1.500.000 kr.,28-12-2022Andet,85 m² 17.647 kr/m²,4,2022,,Aktuel værdi
Rækkehus RRækkehus Vesterhavsparken 10  9492 Blokhus,1.725.000 kr.,28-12-2022Andet,100 m² 17.250 kr/m²,4,2022,-13%,Aktuel værdi
Rækkehus RRækkehus Vesterhavsparken 6  9492 Blokhus,1.650.000 kr.,28-12-2022Andet,100 m² 16.500 kr/m²,4,2022,,Aktuel værdi
Villa VVilla Tennisvej 17  9690 Fjerritslev,1.040.000 kr.,28-12-2022Alm. Salg,183 m² 5.683 kr/m²,7,1979,-1%,Aktuel værdi
Villa VVilla Ravnevej 8  9440 Aabybro,800.000 kr.,28-12-2022Alm. Salg,166 m² 4.494 kr/m²,6,1971,-15%,Aktuel værdi
Villa VVilla Smedevej 7A  9440 Aabybro,1.585.000 kr.,28-12-2022Alm. Salg,132 m² 12.008 kr/m²,5,2008,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vestergade 24, st. tv  9440 Aabybro",1.105.000 kr.,25-12-2022Alm. Salg,91 m² 12.143 kr/m²,4,1919,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vestergade 24, st. th  9440 Aabybro",1.105.000 kr.,25-12-2022Alm. Salg,58 m² 19.052 kr/m²,2,1919,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vestergade 24, 1  9440 Aabybro",1.105.000 kr.,25-12-2022Alm. Salg,51 m² 21.667 kr/m²,3,1919,,Aktuel værdi
Villa VVilla Vestergade 30  9690 Fjerritslev,1.200.000 kr.,25-12-2022Alm. Salg,211 m² 3.810 kr/m²,10,1896,,Aktuel værdi
Ejerlejlighed EEjerlejlighed Østergade 45  9460 Brovst,800.000 kr.,22-12-2022Alm. Salg,90 m² 8.889 kr/m²,3,1960,-18%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Østergade 45, 1  9460 Brovst",800.000 kr.,22-12-2022Alm. Salg,80 m² 10.000 kr/m²,4,1960,-18%,Aktuel værdi
Villa VVilla Østergade 52  9690 Fjerritslev,400.000 kr.,22-12-2022Alm. Salg,100 m² 4.000 kr/m²,3,1936,,Aktuel værdi
Villa VVilla Vasen 13  9460 Brovst,480.000 kr.,22-12-2022Fam. Salg,221 m² 2.172 kr/m²,6,1880,,Aktuel værdi
"Villa VVilla Gl. Landevej 69, st  9440 Aabybro",92.000 kr.,21-12-2022Alm. Salg,120 m² 767 kr/m²,4,1930,,Aktuel værdi
Villa VVilla Ålborgvej 225  9690 Fjerritslev,450.000 kr.,21-12-2022Alm. Salg,132 m² 3.409 kr/m²,3,1879,,Aktuel værdi
Villa VVilla Lundbakvej 2  9490 Pandrup,900.000 kr.,20-12-2022Alm. Salg,220 m² 4.091 kr/m²,6,1970,-10%,Aktuel værdi
Villa VVilla Fiskervej 14  9690 Fjerritslev,1.100.000 kr.,20-12-2022Alm. Salg,244 m² 4.508 kr/m²,6,1918,,Aktuel værdi
Villa VVilla Engesgaardsvej 150  9490 Pandrup,595.000 kr.,20-12-2022Alm. Salg,158 m² 3.766 kr/m²,6,1938,,Aktuel værdi
Villa VVilla Løthvej 107  9700 Brønderslev,800.000 kr.,19-12-2022Andet,198 m² 4.040 kr/m²,7,1934,,Aktuel værdi
Villa VVilla Vester Fælledvej 11  9690 Fjerritslev,1.225.000 kr.,19-12-2022Alm. Salg,180 m² 6.806 kr/m²,5,1967,-5%,Aktuel værdi
Villa VVilla Kragholmvej 12  9690 Fjerritslev,150.000 kr.,19-12-2022Alm. Salg,113 m² 1.327 kr/m²,6,1910,-39%,Aktuel værdi
Rækkehus RRækkehus Slettestrandvej 134. 41  9690 Fjerritslev,695.000 kr.,18-12-2022Alm. Salg,55 m² 12.636 kr/m²,2,2012,-13%,Aktuel værdi
Villa VVilla Møllevænget 1  9440 Aabybro,1.300.000 kr.,18-12-2022Alm. Salg,143 m² 9.091 kr/m²,5,1969,-3%,Aktuel værdi
Villa VVilla Biersted Mosevej 36  9440 Aabybro,1.825.000 kr.,18-12-2022Alm. Salg,356 m² 5.126 kr/m²,10,1990,-9%,Aktuel værdi
Villa VVilla Hedegaardsvej 9  9440 Aabybro,1.425.000 kr.,16-12-2022Alm. Salg,170 m² 8.382 kr/m²,5,1975,-11%,Aktuel værdi
