Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Syvhøjvænge 234  2625 Vallensbæk,884.333 kr.,27-12-2022Alm. Salg,160 m² 5.527 kr/m²,5,1970,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vejlegårdsparken 74, 1. tv  2665 Vallensbæk Strand",1.900.000 kr.,24-12-2022Alm. Salg,89 m² 21.348 kr/m²,3,1966,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vejlegårdsparken 92, 4. tv  2665 Vallensbæk Strand",2.310.000 kr.,22-12-2022Alm. Salg,93 m² 24.839 kr/m²,3,1969,-9%,Aktuel værdi
Villa VVilla Kathrinebjergvej 17  2665 Vallensbæk Strand,4.900.000 kr.,21-12-2022Alm. Salg,87 m² 56.322 kr/m²,3,1980,-2%,Aktuel værdi
Rækkehus RRækkehus Sneglebo 13  2665 Vallensbæk Strand,3.295.000 kr.,20-12-2022Alm. Salg,109 m² 30.229 kr/m²,4,1978,,Aktuel værdi
Villa VVilla Pilehavevænge 46  2625 Vallensbæk,2.900.000 kr.,19-12-2022Alm. Salg,103 m² 28.155 kr/m²,3,1967,-9%,Aktuel værdi
Villa VVilla Valbo Alle 23  2665 Vallensbæk Strand,6.700.000 kr.,19-12-2022Alm. Salg,140 m² 47.857 kr/m²,4,1978,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Delta Park 30, 5. th  2665 Vallensbæk Strand",2.350.000 kr.,15-12-2022Andet,95 m² 24.737 kr/m²,3,2007,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Åsvinget 8, 1. tv  2665 Vallensbæk Strand",3.300.000 kr.,14-12-2022Alm. Salg,119 m² 27.731 kr/m²,3,2008,-6%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vejlegårdsparken 24, 4. 43  2665 Vallensbæk Strand",1.375.000 kr.,12-12-2022Alm. Salg,49 m² 28.061 kr/m²,2,1966,,Aktuel værdi
Villa VVilla Tandrupvej 1  2665 Vallensbæk Strand,3.310.000 kr.,12-12-2022Alm. Salg,126 m² 26.270 kr/m²,4,1973,7%,Aktuel værdi
Rækkehus RRækkehus Syvhøjvænge 96  2625 Vallensbæk,3.250.000 kr.,11-12-2022Alm. Salg,107 m² 30.374 kr/m²,4,1970,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vejlegårdsparken 22, 1. 11  2665 Vallensbæk Strand",1.525.000 kr.,06-12-2022Alm. Salg,78 m² 19.551 kr/m²,2,1966,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vejlegårdsparken 68, 1. 15  2665 Vallensbæk Strand",1.915.000 kr.,05-12-2022Alm. Salg,86 m² 22.267 kr/m²,3,1966,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Gammelgårds Alle 17, 3. 31  2665 Vallensbæk Strand",795.000 kr.,04-12-2022Alm. Salg,39 m² 20.385 kr/m²,1,1966,,Aktuel værdi
Rækkehus RRækkehus Bjørnebo 1  2665 Vallensbæk Strand,2.350.000 kr.,01-12-2022Alm. Salg,104 m² 22.596 kr/m²,4,1977,-6%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vejlegårdsparken 32, st. 5  2665 Vallensbæk Strand",978.660 kr.,29-11-2022Andet,86 m² 11.380 kr/m²,3,1966,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Gammelgårds Alle 23, st. th  2665 Vallensbæk Strand",2.100.000 kr.,28-11-2022Alm. Salg,87 m² 24.138 kr/m²,3,1966,-12%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Gammelgårds Alle 33, 2. th  2665 Vallensbæk Strand",2.145.000 kr.,28-11-2022Alm. Salg,87 m² 24.655 kr/m²,3,1966,,Aktuel værdi
Villa VVilla Tranekærvej 8  2665 Vallensbæk Strand,4.500.000 kr.,27-11-2022Alm. Salg,130 m² 34.615 kr/m²,4,1978,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vejlegårdsparken 42, st. th  2665 Vallensbæk Strand",2.200.000 kr.,26-11-2022Alm. Salg,87 m² 25.287 kr/m²,3,1966,-6%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Åsvinget 4, st. th  2665 Vallensbæk Strand",3.400.000 kr.,23-11-2022Alm. Salg,127 m² 26.772 kr/m²,4,2008,-14%,Aktuel værdi
Villa VVilla Højstrupvej 17  2665 Vallensbæk Strand,3.100.000 kr.,23-11-2022Alm. Salg,125 m² 24.800 kr/m²,4,1955,-11%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Albertslundvej 87, 1. tv  2625 Vallensbæk",1.725.000 kr.,21-11-2022Alm. Salg,107 m² 16.121 kr/m²,4,1964,-4%,Aktuel værdi
Villa VVilla Kokkedalsvej 20  2665 Vallensbæk Strand,3.100.000 kr.,21-11-2022Alm. Salg,101 m² 30.693 kr/m²,4,1960,4%,Aktuel værdi
"Villa VVilla Kokkedalsvej 20, st  2665 Vallensbæk Strand",3.100.000 kr.,21-11-2022Alm. Salg,169 m² 18.343 kr/m²,5,2023,4%,Aktuel værdi
