Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Rækkehus RRækkehus Johnsens Tværvej 3  3700 Rønne,875.000 kr.,30-12-2022Alm. Salg,85 m² 10.294 kr/m²,4,1887,-2%,Aktuel værdi
Rækkehus RRækkehus Grønnegade 24  3730 Nexø,645.000 kr.,28-12-2022Alm. Salg,86 m² 7.500 kr/m²,3,1880,,Aktuel værdi
Villa VVilla Nørregade 10  3770 Allinge,13.000.000 kr.,28-12-2022Alm. Salg,187 m² 69.519 kr/m²,5,1872,,Aktuel værdi
Villa VVilla Nørregade 12  3770 Allinge,13.000.000 kr.,28-12-2022Alm. Salg,85 m² 152.941 kr/m²,5,1800,,Aktuel værdi
Villa VVilla Skarvigen 6  3740 Svaneke,2.770.000 kr.,28-12-2022Alm. Salg,122 m² 22.705 kr/m²,6,1910,-16%,Aktuel værdi
Villa VVilla Myregårdsvej 4  3751 Østermarie,595.000 kr.,27-12-2022Alm. Salg,109 m² 5.459 kr/m²,4,1845,,Aktuel værdi
Villa VVilla Kirkestræde 27  3700 Rønne,975.000 kr.,26-12-2022Alm. Salg,84 m² 11.607 kr/m²,2,1800,-2%,Aktuel værdi
Villa VVilla Søndre Smålyngsvej 5  3720 Aakirkeby,1.300.000 kr.,26-12-2022Alm. Salg,233 m² 5.579 kr/m²,7,1973,-18%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Store Torv 8, 2  3700 Rønne",4.100.000 kr.,22-12-2022Fam. Salg,153 m² 26.797 kr/m²,7,1911,,Aktuel værdi
Villa VVilla Almegårdsvej 1  3700 Rønne,3.450.000 kr.,21-12-2022Alm. Salg,142 m² 21.975 kr/m²,3,1947,-4%,Aktuel værdi
Rækkehus RRækkehus Harbovej 6  3700 Rønne,1.325.000 kr.,20-12-2022Alm. Salg,107 m² 12.383 kr/m²,5,1953,-5%,Aktuel værdi
Villa VVilla Lindebergvej 14  3730 Nexø,1.200.000 kr.,20-12-2022Alm. Salg,100 m² 12.000 kr/m²,4,1948,-6%,Aktuel værdi
Villa VVilla Søndergade 20  3740 Svaneke,900.000 kr.,20-12-2022Alm. Salg,183 m² 4.918 kr/m²,6,1858,,Aktuel værdi
Villa VVilla Ølenevej 71  3720 Aakirkeby,730.000 kr.,20-12-2022Alm. Salg,192 m² 3.802 kr/m²,6,1892,-5%,Aktuel værdi
Villa VVilla Gadegårdsvejen 7  3730 Nexø,425.000 kr.,19-12-2022Fam. Salg,197 m² 2.157 kr/m²,5,1900,,Aktuel værdi
Villa VVilla Solvænget 14  3700 Rønne,377.000 kr.,19-12-2022Auktion,183 m² 2.060 kr/m²,6,1964,,Aktuel værdi
Rækkehus RRækkehus Nørregade 19  3790 Hasle,1.195.000 kr.,18-12-2022Alm. Salg,102 m² 11.716 kr/m²,4,1872,,Aktuel værdi
Rækkehus RRækkehus Stengade 8  3700 Rønne,925.000 kr.,18-12-2022Alm. Salg,75 m² 12.333 kr/m²,2,1877,-7%,Aktuel værdi
Villa VVilla Pihls Alle 1A  3782 Klemensker,290.331 kr.,17-12-2022Alm. Salg,62 m² 4.683 kr/m²,3,1971,,Aktuel værdi
Villa VVilla Svanekevej 65  3740 Svaneke,408.000 kr.,16-12-2022Fam. Salg,124 m² 3.290 kr/m²,8,1861,,Aktuel værdi
Villa VVilla Balkalyngen 1  3730 Nexø,2.200.000 kr.,15-12-2022Alm. Salg,173 m² 12.717 kr/m²,5,1973,-15%,Aktuel værdi
Villa VVilla Dr. Glavens Vej 17  3720 Aakirkeby,1.295.000 kr.,15-12-2022Alm. Salg,158 m² 8.196 kr/m²,6,1980,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nørre Bakke 29, 1. th  3700 Rønne",1.050.000 kr.,14-12-2022Alm. Salg,53 m² 19.811 kr/m²,2,1934,,Aktuel værdi
Villa VVilla Almindingsvej 64  3700 Rønne,1.035.000 kr.,14-12-2022Alm. Salg,144 m² 7.188 kr/m²,4,1958,,Aktuel værdi
Rækkehus RRækkehus Dampmøllegade 13  3700 Rønne,1.500.000 kr.,13-12-2022Alm. Salg,102 m² 14.706 kr/m²,4,1890,,Aktuel værdi
Rækkehus RRækkehus Jernbanegade 42D  3720 Aakirkeby,698.000 kr.,12-12-2022Alm. Salg,100 m² 6.980 kr/m²,2,1947,,Aktuel værdi
Villa VVilla Pluggegårdsvej 29  3700 Rønne,1.700.000 kr.,12-12-2022Alm. Salg,229 m² 7.424 kr/m²,8,1906,,Aktuel værdi
Villa VVilla Gl Postvej 35  3730 Nexø,1.710.000 kr.,11-12-2022Fam. Salg,270 m² 6.333 kr/m²,7,1972,,Aktuel værdi
Villa VVilla Strandvejen 27  3740 Svaneke,2.800.000 kr.,10-12-2022Fam. Salg,180 m² 15.556 kr/m²,4,1961,,Aktuel værdi
Villa VVilla Gl Rønnevej 2  3730 Nexø,815.086 kr.,08-12-2022Fam. Salg,203 m² 4.015 kr/m²,5,1907,,Aktuel værdi
Rækkehus RRækkehus Bager Sonnes Gade 20  3730 Nexø,1.250.000 kr.,07-12-2022Alm. Salg,137 m² 9.124 kr/m²,3,1877,-14%,Aktuel værdi
