Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Brøndbyvestervej 157  2605 Brøndby,3.095.000 kr.,30-12-2022Alm. Salg,106 m² 29.198 kr/m²,5,1961,,Aktuel værdi
Rækkehus RRækkehus Åkrogen 26  2605 Brøndby,828.750 kr.,28-12-2022Fam. Salg,156 m² 5.313 kr/m²,6,1971,,Aktuel værdi
Villa VVilla Hyttebovej 17  2660 Brøndby Strand,3.205.000 kr.,24-12-2022Alm. Salg,186 m² 17.231 kr/m²,7,1965,-8%,Aktuel værdi
Villa VVilla Ved Lindelund 182  2605 Brøndby,2.375.000 kr.,22-12-2022Alm. Salg,143 m² 16.608 kr/m²,5,1979,,Aktuel værdi
Villa VVilla Kærlunden 1  2660 Brøndby Strand,1.434.000 kr.,18-12-2022Fam. Salg,161 m² 8.907 kr/m²,6,2000,,Aktuel værdi
Villa VVilla Lundedammen 28  2605 Brøndby,3.150.000 kr.,18-12-2022Alm. Salg,119 m² 26.471 kr/m²,4,1966,-10%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Brøndbyvestervej 60B, 1. 4  2605 Brøndby",1.800.000 kr.,16-12-2022Alm. Salg,82 m² 21.951 kr/m²,3,1967,-7%,Aktuel værdi
Villa VVilla Sandbjerggårdsvej 10  2605 Brøndby,1.100.000 kr.,13-12-2022Andet,143 m² 7.692 kr/m²,4,1970,,Aktuel værdi
Rækkehus RRækkehus Ved Lindelund 169  2605 Brøndby,3.500.000 kr.,07-12-2022Alm. Salg,130 m² 26.923 kr/m²,4,1980,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Brøndbyvestervej 38, st. tv  2605 Brøndby",850.000 kr.,07-12-2022Fam. Salg,79 m² 10.759 kr/m²,3,1971,,Aktuel værdi
Villa VVilla Elementfabrikken 5B  2605 Brøndby,100.717.000 kr.,05-12-2022Alm. Salg,158 m² 637.449 kr/m²,4,1953,,Aktuel værdi
