Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
"Ejerlejlighed EEjerlejlighed Lundsgårdsvej 1, st  4180 Sorø",1.400.000 kr.,29-12-2022Alm. Salg,110 m² 12.727 kr/m²,3,1920,-17%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lundsgårdsvej 1, 1. th  4180 Sorø",1.400.000 kr.,29-12-2022Alm. Salg,30 m² 46.667 kr/m²,1,1920,-17%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lundsgårdsvej 1, 2  4180 Sorø",1.400.000 kr.,29-12-2022Alm. Salg,55 m² 25.455 kr/m²,2,1920,-17%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lundsgårdsvej 1, 1. tv  4180 Sorø",1.400.000 kr.,29-12-2022Alm. Salg,70 m² 20.000 kr/m²,2,1920,-17%,Aktuel værdi
Villa VVilla Lundsgårdsvej 1  4180 Sorø,1.400.000 kr.,29-12-2022Alm. Salg,375 m² 3.733 kr/m²,6,1920,-17%,Aktuel værdi
Villa VVilla Lundsgårdsvej 1  4180 Sorø,1.400.000 kr.,29-12-2022Alm. Salg,265 m² 5.283 kr/m²,6,1920,-17%,Aktuel værdi
Villa VVilla Drosselvej 20  4293 Dianalund,1.600.000 kr.,26-12-2022Alm. Salg,186 m² 8.602 kr/m²,6,1977,-6%,Aktuel værdi
Villa VVilla Bjernede Parkvej 4  4180 Sorø,1.405.000 kr.,26-12-2022Alm. Salg,138 m² 10.181 kr/m²,6,1974,-6%,Aktuel værdi
Villa VVilla Slaglillevej 14  4173 Fjenneslev,485.000 kr.,23-12-2022Alm. Salg,73 m² 6.644 kr/m²,4,1897,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Moltkesvej 2, 1  4291 Ruds Vedby",4.400.000 kr.,22-12-2022Alm. Salg,111 m² 39.640 kr/m²,3,1858,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Moltkesvej 4A, 1  4291 Ruds Vedby",4.400.000 kr.,22-12-2022Alm. Salg,94 m² 46.809 kr/m²,4,1858,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Moltkesvej 4B, 1  4291 Ruds Vedby",4.400.000 kr.,22-12-2022Alm. Salg,109 m² 40.367 kr/m²,5,1858,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Moltkesvej 4B, st. 2  4291 Ruds Vedby",4.400.000 kr.,22-12-2022Alm. Salg,133 m² 33.083 kr/m²,4,1858,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Moltkesvej 2, st  4291 Ruds Vedby",4.400.000 kr.,22-12-2022Alm. Salg,463 m² 9.503 kr/m²,4,1858,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Moltkesvej 4B, st. 1  4291 Ruds Vedby",4.400.000 kr.,22-12-2022Alm. Salg,161 m² 27.329 kr/m²,3,1858,,Aktuel værdi
Villa VVilla Norgesvej 15  4293 Dianalund,1.400.000 kr.,22-12-2022Alm. Salg,134 m² 10.448 kr/m²,4,1980,-11%,Aktuel værdi
Villa VVilla Assentorpvej 23  4295 Stenlille,799.000 kr.,22-12-2022Alm. Salg,70 m² 11.414 kr/m²,4,1915,,Aktuel værdi
Villa VVilla Vestervang 1  4293 Dianalund,550.000 kr.,21-12-2022Alm. Salg,149 m² 3.691 kr/m²,6,1937,,Aktuel værdi
Villa VVilla Holbergsvej 60  4293 Dianalund,825.000 kr.,21-12-2022Alm. Salg,126 m² 6.548 kr/m²,6,1964,-8%,Aktuel værdi
Villa VVilla Enghavevej 2  4180 Sorø,3.795.000 kr.,21-12-2022Alm. Salg,153 m² 24.804 kr/m²,4,1912,,Aktuel værdi
Rækkehus RRækkehus Fuglebakken 11  4180 Sorø,1.075.000 kr.,20-12-2022Fam. Salg,70 m² 15.357 kr/m²,2,1974,,Aktuel værdi
