Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Saksenballe 19  5672 Broby,508.960 kr.,30-12-2022Alm. Salg,124 m² 4.105 kr/m²,5,1910,-60%,Aktuel værdi
Villa VVilla Gartnervænget 11  5792 Årslev,1.650.000 kr.,29-12-2022Alm. Salg,125 m² 13.200 kr/m²,6,1968,-6%,Aktuel værdi
Villa VVilla Svendborgvej 475  5792 Årslev,1.200.000 kr.,25-12-2022Alm. Salg,128 m² 9.375 kr/m²,5,1934,,Aktuel værdi
Villa VVilla Søndergade 16  5672 Broby,750.000 kr.,22-12-2022Alm. Salg,146 m² 5.137 kr/m²,6,1966,-6%,Aktuel værdi
Villa VVilla Vesterågade 57  5672 Broby,1.500.000 kr.,21-12-2022Andet,120 m² 12.500 kr/m²,5,1934,,Aktuel værdi
Villa VVilla Rugagervej 4  5600 Faaborg,1.350.000 kr.,21-12-2022Alm. Salg,100 m² 13.500 kr/m²,4,1964,51%,Aktuel værdi
Villa VVilla Hornelandevej 14  5600 Faaborg,700.000 kr.,21-12-2022Andet,114 m² 6.140 kr/m²,5,1957,,Aktuel værdi
Villa VVilla Krarupvænge 2  5750 Ringe,650.000 kr.,21-12-2022Alm. Salg,111 m² 5.856 kr/m²,3,1964,,Aktuel værdi
Rækkehus RRækkehus Priorensgade 11  5600 Faaborg,875.000 kr.,20-12-2022Fam. Salg,182 m² 4.808 kr/m²,7,1827,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Østergade 30, st  5600 Faaborg",712.500 kr.,20-12-2022Alm. Salg,55 m² 12.955 kr/m²,2,1898,-5%,Aktuel værdi
Villa VVilla Dalager 20  5750 Ringe,1.612.500 kr.,20-12-2022Alm. Salg,115 m² 14.022 kr/m²,4,1984,-5%,Aktuel værdi
Villa VVilla Odensevej 14  5772 Kværndrup,750.000 kr.,19-12-2022Andet,93 m² 8.065 kr/m²,3,1934,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Algade 7, 1. tv  5750 Ringe",1.700.000 kr.,18-12-2022Alm. Salg,77 m² 22.078 kr/m²,2,1953,,Aktuel værdi
Villa VVilla Lombjergevej 3A  5750 Ringe,1.150.000 kr.,18-12-2022Alm. Salg,100 m² 11.500 kr/m²,4,1981,-11%,Aktuel værdi
