Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Harpevej 5  3650 Ølstykke,2.650.000 kr.,28-12-2022Alm. Salg,106 m² 25.000 kr/m²,4,1966,-2%,Aktuel værdi
Ejerlejlighed EEjerlejlighed Bryggertorvet 25  3650 Ølstykke,1.100.000 kr.,27-12-2022Alm. Salg,46 m² 23.913 kr/m²,1,1988,,Aktuel værdi
Villa VVilla Frydensbergvej 6  3660 Stenløse,1.707.205 kr.,27-12-2022Alm. Salg,169 m² 10.102 kr/m²,5,1964,,Aktuel værdi
Villa VVilla Violvej 5  3660 Stenløse,4.195.000 kr.,27-12-2022Alm. Salg,208 m² 20.168 kr/m²,7,1979,,Aktuel værdi
Villa VVilla Ved Gadekæret 8  3650 Ølstykke,1.458.464 kr.,27-12-2022Alm. Salg,179 m² 8.148 kr/m²,3,1963,,Aktuel værdi
Villa VVilla Rugvej 31  2765 Smørum,3.875.000 kr.,26-12-2022Alm. Salg,136 m² 28.493 kr/m²,5,1970,-8%,Aktuel værdi
Villa VVilla Hørbakken 8  2765 Smørum,4.350.000 kr.,26-12-2022Alm. Salg,230 m² 18.913 kr/m²,9,1976,-7%,Aktuel værdi
Villa VVilla Rødkælkevej 7  3660 Stenløse,850.000 kr.,21-12-2022Fam. Salg,126 m² 6.746 kr/m²,4,1969,,Aktuel værdi
Rækkehus RRækkehus Åkandehaven 228  2765 Smørum,738.000 kr.,20-12-2022Andet,106 m² 6.962 kr/m²,4,1974,,Aktuel værdi
Rækkehus RRækkehus Rytterparken 26  2765 Smørum,2.200.000 kr.,20-12-2022Alm. Salg,77 m² 28.571 kr/m²,3,1995,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Egedal Centret 44K, 1  3660 Stenløse",1.200.000 kr.,20-12-2022Andet,48 m² 25.000 kr/m²,2,1978,,Aktuel værdi
Villa VVilla Roskildevej 40  3650 Ølstykke,4.800.000 kr.,20-12-2022Andet,144 m² 33.333 kr/m²,8,1947,,Aktuel værdi
Rækkehus RRækkehus Egernleddet 112  3660 Stenløse,3.995.000 kr.,19-12-2022Alm. Salg,125 m² 31.960 kr/m²,4,2017,,Aktuel værdi
Rækkehus RRækkehus Kirsebærvangen 192  2765 Smørum,813.500 kr.,19-12-2022Fam. Salg,106 m² 7.675 kr/m²,4,1974,,Aktuel værdi
