Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Rækkehus RRækkehus Gl Skolevej 14A  9600 Aars,2.125.000 kr.,28-12-2022Alm. Salg,117 m² 18.162 kr/m²,2,1918,,Aktuel værdi
Villa VVilla Nygade 3  9600 Aars,450.000 kr.,28-12-2022Alm. Salg,189 m² 2.381 kr/m²,7,1965,-25%,Aktuel værdi
Ejerlejlighed EEjerlejlighed Højvang 4  9600 Aars,550.000 kr.,22-12-2022Alm. Salg,99 m² 5.556 kr/m²,4,1931,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Højvang 4, kl  9600 Aars",550.000 kr.,22-12-2022Alm. Salg,55 m² 10.000 kr/m²,2,1931,,Aktuel værdi
Villa VVilla Bredgade 80  9670 Løgstør,400.000 kr.,21-12-2022Fam. Salg,112 m² 3.571 kr/m²,3,1896,,Aktuel værdi
Villa VVilla Bjørnstrupvej 54  9600 Aars,495.000 kr.,21-12-2022Alm. Salg,129 m² 3.837 kr/m²,5,1877,,Aktuel værdi
Villa VVilla Nr Blærevej 4  9600 Aars,2.550.000 kr.,21-12-2022Alm. Salg,138 m² 18.478 kr/m²,4,1924,,Aktuel værdi
Villa VVilla Kaj Munksvej 11  9600 Aars,2.470.000 kr.,20-12-2022Alm. Salg,153 m² 16.144 kr/m²,4,1966,-1%,Aktuel værdi
Villa VVilla Skivumvej 70  9240 Nibe,250.000 kr.,20-12-2022Alm. Salg,93 m² 2.688 kr/m²,4,1964,-15%,Aktuel værdi
Villa VVilla Gl. Roldvej 4  9600 Aars,400.000 kr.,19-12-2022Fam. Salg,105 m² 3.810 kr/m²,4,1947,,Aktuel værdi
Villa VVilla Ranumvej 58  9681 Ranum,50.000 kr.,19-12-2022Auktion,278 m² 180 kr/m²,8,1902,,Aktuel værdi
Villa VVilla Troldbjergvej 51  9670 Løgstør,895.000 kr.,19-12-2022Fam. Salg,206 m² 4.345 kr/m²,7,1902,,Aktuel værdi
Villa VVilla Skrænten 11  9640 Farsø,1.466.346 kr.,19-12-2022Fam. Salg,163 m² 8.996 kr/m²,2,1980,,Aktuel værdi
Villa VVilla Brombærvej 14  9620 Aalestrup,2.925.000 kr.,18-12-2022Alm. Salg,219 m² 13.356 kr/m²,7,2018,-6%,Aktuel værdi
Villa VVilla Nygade 15  9600 Aars,935.000 kr.,15-12-2022Alm. Salg,133 m² 7.030 kr/m²,5,1974,,Aktuel værdi
Villa VVilla Bygmarken 33  9670 Løgstør,1.150.000 kr.,14-12-2022Alm. Salg,101 m² 11.386 kr/m²,4,1978,-11%,Aktuel værdi
Villa VVilla Evaholmvej 3  9600 Aars,925.000 kr.,14-12-2022Fam. Salg,148 m² 6.250 kr/m²,4,2020,,Aktuel værdi
Villa VVilla Solbakken 2  9640 Farsø,1.875.000 kr.,13-12-2022Alm. Salg,82 m² 22.866 kr/m²,4,1954,,Aktuel værdi
Villa VVilla Aggersborgvej 88  9670 Løgstør,935.000 kr.,13-12-2022Alm. Salg,176 m² 5.313 kr/m²,7,1898,-4%,Aktuel værdi
Villa VVilla Padkærvej 10  9670 Løgstør,128.000 kr.,13-12-2022Alm. Salg,58 m² 2.207 kr/m²,2,1954,,Aktuel værdi
Villa VVilla Gatten Stationsvej 10  9640 Farsø,640.000 kr.,12-12-2022Alm. Salg,224 m² 2.857 kr/m²,8,1931,-24%,Aktuel værdi
Villa VVilla Korgårdvej 3  9600 Aars,1.200.000 kr.,12-12-2022Alm. Salg,136 m² 8.824 kr/m²,4,2003,,Aktuel værdi
Villa VVilla Brorsonsvej 21  9600 Aars,1.400.000 kr.,08-12-2022Alm. Salg,127 m² 11.024 kr/m²,4,1971,-6%,Aktuel værdi
Villa VVilla Løvsangervej 1  9600 Aars,2.200.000 kr.,08-12-2022Alm. Salg,183 m² 12.022 kr/m²,6,1976,-4%,Aktuel værdi
Villa VVilla Enghaven 4  9620 Aalestrup,1.000.000 kr.,07-12-2022Alm. Salg,142 m² 7.042 kr/m²,4,1977,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Tingvej 3, 1  9600 Aars",952.000 kr.,06-12-2022Alm. Salg,40 m² 23.800 kr/m²,2,1933,,Aktuel værdi
Villa VVilla Engvangen 17  9620 Aalestrup,650.000 kr.,06-12-2022Alm. Salg,185 m² 3.514 kr/m²,6,1677,-28%,Aktuel værdi
"Villa VVilla Tingvej 3, st  9600 Aars",952.000 kr.,06-12-2022Alm. Salg,65 m² 14.646 kr/m²,2,1933,,Aktuel værdi
Villa VVilla Boldrupvej 96  9620 Aalestrup,400.000 kr.,05-12-2022Alm. Salg,107 m² 3.738 kr/m²,6,1930,,Aktuel værdi
Villa VVilla Skinderupvej 97  9620 Aalestrup,500.000 kr.,05-12-2022Auktion,145 m² 3.448 kr/m²,5,1956,-50%,Aktuel værdi
Villa VVilla Bjørnstrupvej 9  9600 Aars,675.000 kr.,04-12-2022Alm. Salg,165 m² 4.091 kr/m²,4,1948,,Aktuel værdi
Villa VVilla Nyrupvej 26A  9600 Aars,10.202.500 kr.,04-12-2022Fam. Salg,100 m² 102.025 kr/m²,3,1970,,Aktuel værdi
Villa VVilla Hestbækvej 7B  9640 Farsø,1.200.000 kr.,03-12-2022Alm. Salg,183 m² 6.557 kr/m²,7,1990,,Aktuel værdi
Villa VVilla Mejsevej 40  9600 Aars,1.895.000 kr.,03-12-2022Alm. Salg,114 m² 16.623 kr/m²,3,1978,,Aktuel værdi
Villa VVilla Blindgyden 8  9640 Farsø,75.000 kr.,03-12-2022Alm. Salg,70 m² 1.071 kr/m²,3,1945,,Aktuel værdi
Villa VVilla Nymarken 13  9640 Farsø,345.000 kr.,02-12-2022Alm. Salg,132 m² 2.614 kr/m²,5,1973,,Aktuel værdi
Villa VVilla Østervang 8  9600 Aars,715.000 kr.,01-12-2022Alm. Salg,95 m² 7.526 kr/m²,3,1967,-10%,Aktuel værdi
Villa VVilla Tranevej 37  9640 Farsø,1.000.000 kr.,30-11-2022Alm. Salg,203 m² 4.926 kr/m²,6,1977,-5%,Aktuel værdi
Villa VVilla Mellemvej 13  9640 Farsø,871.875 kr.,30-11-2022Fam. Salg,60 m² 14.531 kr/m²,2,1892,,Aktuel værdi
Villa VVilla Kirkevej 18  9600 Aars,1.575.000 kr.,30-11-2022Alm. Salg,171 m² 9.211 kr/m²,6,1967,,Aktuel værdi
Villa VVilla Galgehøj 161  9600 Aars,2.400.000 kr.,28-11-2022Alm. Salg,130 m² 18.462 kr/m²,4,2022,,Aktuel værdi
Villa VVilla Ryttergade 12  9681 Ranum,125.000 kr.,27-11-2022Alm. Salg,84 m² 1.488 kr/m²,4,1926,,Aktuel værdi
Villa VVilla Tvebjergvej 14  9600 Aars,3.975.000 kr.,27-11-2022Alm. Salg,170 m² 23.382 kr/m²,5,2009,,Aktuel værdi
Villa VVilla A. Nielsens Vej 8  9670 Løgstør,450.000 kr.,27-11-2022Alm. Salg,112 m² 4.018 kr/m²,3,1926,-10%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nordvestvej 3, st. th  9620 Aalestrup",260.000 kr.,25-11-2022Alm. Salg,175 m² 1.486 kr/m²,9,1932,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nordvestvej 3, st. mf  9620 Aalestrup",260.000 kr.,25-11-2022Alm. Salg,41 m² 6.341 kr/m²,2,1932,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nordvestvej 3, st. tv  9620 Aalestrup",260.000 kr.,25-11-2022Alm. Salg,59 m² 4.407 kr/m²,3,1932,,Aktuel værdi
Villa VVilla Galgehøj 29  9600 Aars,548.642 kr.,25-11-2022Alm. Salg,204 m² 2.689 kr/m²,6,0,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nørregade 24, st. 2  9640 Farsø",975.000 kr.,24-11-2022Alm. Salg,34 m² 28.676 kr/m²,1,1910,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nørregade 24, st. 3  9640 Farsø",975.000 kr.,24-11-2022Alm. Salg,31 m² 31.452 kr/m²,1,1910,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nørregade 24, st. 1  9640 Farsø",975.000 kr.,24-11-2022Alm. Salg,33 m² 29.545 kr/m²,1,1910,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nørregade 24, st. 4  9640 Farsø",975.000 kr.,24-11-2022Alm. Salg,33 m² 29.545 kr/m²,1,1910,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nørregade 24, 1. 6  9640 Farsø",975.000 kr.,24-11-2022Alm. Salg,61 m² 15.984 kr/m²,2,1910,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Nørregade 24, 1. 5  9640 Farsø",975.000 kr.,24-11-2022Alm. Salg,42 m² 23.214 kr/m²,1,1910,,Aktuel værdi
Villa VVilla Himmerlandsvej 22  9240 Nibe,585.000 kr.,24-11-2022Alm. Salg,132 m² 4.432 kr/m²,3,1975,,Aktuel værdi
Ejerlejlighed EEjerlejlighed Fogedgade 1B  9670 Løgstør,2.500.000 kr.,23-11-2022Alm. Salg,67 m² 37.313 kr/m²,3,1838,,Aktuel værdi
Ejerlejlighed EEjerlejlighed Blindebomsgade 12A. 2  9670 Løgstør,2.500.000 kr.,23-11-2022Alm. Salg,124 m² 20.161 kr/m²,2,1838,,Aktuel værdi
Ejerlejlighed EEjerlejlighed Fogedgade 1A  9670 Løgstør,2.500.000 kr.,23-11-2022Alm. Salg,57 m² 43.860 kr/m²,2,1838,,Aktuel værdi
Villa VVilla Vestbyen 21  9640 Farsø,930.000 kr.,22-11-2022Alm. Salg,150 m² 6.200 kr/m²,4,1963,-7%,Aktuel værdi
Rækkehus RRækkehus Sdr Boulevard 99B  9600 Aars,700.000 kr.,21-11-2022Fam. Salg,50 m² 14.000 kr/m²,2,1977,,Aktuel værdi
Villa VVilla Villavej 8  9600 Aars,535.708 kr.,21-11-2022Andet,181 m² 2.960 kr/m²,5,1979,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Himmerlandsgade 95, 1  9600 Aars",1.200.000 kr.,20-11-2022Alm. Salg,98 m² 7.018 kr/m²,7,1910,,Aktuel værdi
Villa VVilla Vesterbro 13  9631 Gedsted,250.000 kr.,20-11-2022Alm. Salg,135 m² 1.852 kr/m²,3,1917,-16%,Aktuel værdi
Villa VVilla Kr. Hansens Vej 6  9670 Løgstør,795.000 kr.,20-11-2022Alm. Salg,112 m² 7.098 kr/m²,4,1975,,Aktuel værdi
Villa VVilla Skrænten 6B  9640 Farsø,1.870.000 kr.,20-11-2022Alm. Salg,142 m² 13.169 kr/m²,4,2006,-6%,Aktuel værdi
Villa VVilla Illerisørevej 16  9640 Farsø,204.000 kr.,19-11-2022Fam. Salg,74 m² 2.757 kr/m²,4,1965,,Aktuel værdi
Villa VVilla Søndermarksvej 9  9670 Løgstør,475.000 kr.,17-11-2022Alm. Salg,138 m² 3.442 kr/m²,4,1973,,Aktuel værdi
Villa VVilla Dorthinevej 1  9620 Aalestrup,495.000 kr.,17-11-2022Fam. Salg,201 m² 2.463 kr/m²,6,1978,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Oustrupvej 2A, 1. tv  9600 Aars",590.000 kr.,13-11-2022Alm. Salg,71 m² 8.310 kr/m²,2,1974,,Aktuel værdi
Villa VVilla Lerkenfeldvej 22  9600 Aars,702.500 kr.,13-11-2022Alm. Salg,90 m² 7.806 kr/m²,2,1880,,Aktuel værdi
Villa VVilla Postbakken 17  9640 Farsø,2.400.000 kr.,12-11-2022Alm. Salg,174 m² 13.793 kr/m²,5,2002,-4%,Aktuel værdi
Villa VVilla Klovenhøjvej 7  9640 Farsø,240.000 kr.,11-11-2022Alm. Salg,140 m² 1.714 kr/m²,5,1933,-8%,Aktuel værdi
Villa VVilla Sønderport 60  9670 Løgstør,1.575.000 kr.,11-11-2022Alm. Salg,156 m² 10.096 kr/m²,5,1955,,Aktuel værdi
Villa VVilla Nørlangsvej 3  9670 Løgstør,485.000 kr.,09-11-2022Fam. Salg,133 m² 3.647 kr/m²,4,1967,,Aktuel værdi
Villa VVilla Rønbjergvej 200  9681 Ranum,899.905 kr.,09-11-2022Alm. Salg,255 m² 3.529 kr/m²,5,0,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed C. Andersens Passage 2, 3. th  9600 Aars",2.450.000 kr.,08-11-2022Alm. Salg,154 m² 15.909 kr/m²,4,2018,-6%,Aktuel værdi
Villa VVilla Rolighedsvej 20  9620 Aalestrup,650.000 kr.,08-11-2022Alm. Salg,148 m² 4.392 kr/m²,5,1960,-18%,Aktuel værdi
Villa VVilla Dragsdalvej 60  9670 Løgstør,920.000 kr.,07-11-2022Alm. Salg,140 m² 6.571 kr/m²,5,1971,,Aktuel værdi
Villa VVilla Aalborgvej 69  9600 Aars,850.000 kr.,07-11-2022Alm. Salg,125 m² 6.800 kr/m²,5,1927,-15%,Aktuel værdi
Villa VVilla Vægerhøjvej 13  9670 Løgstør,50.000 kr.,07-11-2022Alm. Salg,248 m² 202 kr/m²,6,1860,,Aktuel værdi
Villa VVilla Svalevej 4  9600 Aars,925.000 kr.,07-11-2022Fam. Salg,158 m² 5.854 kr/m²,7,1974,,Aktuel værdi
Villa VVilla Højgårdsvej 16  9640 Farsø,348.500 kr.,07-11-2022Fam. Salg,133 m² 2.620 kr/m²,4,1976,,Aktuel værdi
Villa VVilla Tandrupvej 2B  9600 Aars,2.636.000 kr.,07-11-2022Alm. Salg,52 m² 50.692 kr/m²,2,1928,,Aktuel værdi
Villa VVilla Bydamsvej 3  9681 Ranum,155.600 kr.,07-11-2022Auktion,146 m² 1.066 kr/m²,4,1960,,Aktuel værdi
Villa VVilla Aaparken 21  9620 Aalestrup,1.350.000 kr.,06-11-2022Alm. Salg,172 m² 7.849 kr/m²,4,1973,-15%,Aktuel værdi
Villa VVilla Gislumvej 33  9600 Aars,652.000 kr.,02-11-2022Alm. Salg,100 m² 6.520 kr/m²,5,1947,,Aktuel værdi
Villa VVilla Trendåvej 14  9640 Farsø,155.000 kr.,02-11-2022Alm. Salg,62 m² 2.500 kr/m²,3,1900,,Aktuel værdi
Villa VVilla Nørrevang 7  9600 Aars,720.000 kr.,02-11-2022Fam. Salg,110 m² 6.545 kr/m²,4,1960,,Aktuel værdi
Villa VVilla Vestergade 6  9640 Farsø,225.000 kr.,31-10-2022Alm. Salg,98 m² 2.296 kr/m²,3,1965,-15%,Aktuel værdi
"Rækkehus RRækkehus Møllevej 7, st. th  9640 Farsø",238.000 kr.,30-10-2022Fam. Salg,73 m² 3.260 kr/m²,1,1900,,Aktuel værdi
"Rækkehus RRækkehus Møllevej 7, st. tv  9640 Farsø",238.000 kr.,30-10-2022Fam. Salg,97 m² 2.454 kr/m²,4,1900,,Aktuel værdi
Villa VVilla Skolevej 3  9240 Nibe,625.000 kr.,30-10-2022Alm. Salg,151 m² 4.139 kr/m²,3,1938,,Aktuel værdi
Villa VVilla Himmerlandsgade 24  9600 Aars,1.100.000 kr.,28-10-2022Alm. Salg,124 m² 8.871 kr/m²,4,1916,,Aktuel værdi
Villa VVilla Søndergade 43  9640 Farsø,3.215.000 kr.,26-10-2022Alm. Salg,260 m² 11.086 kr/m²,11,1923,-8%,Aktuel værdi
Villa VVilla Nørrevold 3  9631 Gedsted,170.000 kr.,24-10-2022Alm. Salg,62 m² 2.742 kr/m²,2,1950,-13%,Aktuel værdi
Villa VVilla Bjørnsholmvej 83  9670 Løgstør,300.000 kr.,24-10-2022Alm. Salg,118 m² 2.542 kr/m²,4,1960,-24%,Aktuel værdi
Villa VVilla Galgehøj 160  9600 Aars,409.835 kr.,24-10-2022Andet,207 m² 1.980 kr/m²,5,2023,,Aktuel værdi
Villa VVilla Kelddalvej 66  9600 Aars,38.000 kr.,23-10-2022Alm. Salg,130 m² 292 kr/m²,4,1948,,Aktuel værdi
Villa VVilla Engparken 20  9620 Aalestrup,1.995.000 kr.,23-10-2022Alm. Salg,179 m² 11.145 kr/m²,6,1930,,Aktuel værdi
Villa VVilla Sportsvej 5  9681 Ranum,578.570 kr.,23-10-2022Alm. Salg,165 m² 3.506 kr/m²,8,1927,,Aktuel værdi
Villa VVilla Aalborgvej 5  9670 Løgstør,1.350.000 kr.,19-10-2022Alm. Salg,320 m² 4.219 kr/m²,9,1900,-15%,Aktuel værdi
Villa VVilla Aalborgvej 5A  9670 Løgstør,1.350.000 kr.,19-10-2022Alm. Salg,62 m² 21.774 kr/m²,2,1967,-15%,Aktuel værdi
Villa VVilla Kaj Munks Vej 4  9640 Farsø,697.000 kr.,18-10-2022Fam. Salg,122 m² 5.713 kr/m²,4,1971,,Aktuel værdi
Villa VVilla Gråbølle 20  9640 Farsø,1.850.000 kr.,17-10-2022Alm. Salg,200 m² 9.250 kr/m²,6,1981,-7%,Aktuel værdi
Villa VVilla Kærgårdsvej 8  9640 Farsø,52.716 kr.,17-10-2022Fam. Salg,74 m² 712 kr/m²,2,1939,,Aktuel værdi
Villa VVilla Hestbækvej 238  9640 Farsø,40.000 kr.,17-10-2022Alm. Salg,100 m² 400 kr/m²,4,1933,,Aktuel værdi
Villa VVilla Islandsvej 8  9670 Løgstør,1.100.000 kr.,17-10-2022Alm. Salg,207 m² 5.046 kr/m²,6,1969,-15%,Aktuel værdi
Villa VVilla Skolegade 13  9670 Løgstør,75.000 kr.,17-10-2022Alm. Salg,135 m² 556 kr/m²,6,1949,,Aktuel værdi
Villa VVilla Solvænget 41  9600 Aars,2.000.000 kr.,16-10-2022Alm. Salg,117 m² 17.094 kr/m²,4,1981,,Aktuel værdi
Villa VVilla Høgevej 20  9640 Farsø,1.100.000 kr.,15-10-2022Alm. Salg,136 m² 8.088 kr/m²,5,1973,,Aktuel værdi
