Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Skolevænget 44  6900 Skjern,2.700.000 kr.,30-12-2022Alm. Salg,135 m² 20.000 kr/m²,4,1965,,Aktuel værdi
Villa VVilla Vestervænget 32  6900 Skjern,2.785.000 kr.,29-12-2022Alm. Salg,212 m² 13.137 kr/m²,5,1900,,Aktuel værdi
Rækkehus RRækkehus Nylandsvej 11C  6971 Spjald,1.100.000 kr.,27-12-2022Alm. Salg,71 m² 15.493 kr/m²,3,1989,,Aktuel værdi
Rækkehus RRækkehus Nylandsvej 11B  6971 Spjald,1.100.000 kr.,27-12-2022Alm. Salg,71 m² 15.493 kr/m²,3,1989,,Aktuel værdi
Rækkehus RRækkehus Nylandsvej 11A  6971 Spjald,1.100.000 kr.,27-12-2022Alm. Salg,72 m² 15.278 kr/m²,3,1989,,Aktuel værdi
Rækkehus RRækkehus Grønnegade 10B  6971 Spjald,1.100.000 kr.,27-12-2022Alm. Salg,71 m² 15.493 kr/m²,3,1989,,Aktuel værdi
Rækkehus RRækkehus Grønnegade 10A  6971 Spjald,1.100.000 kr.,27-12-2022Alm. Salg,71 m² 15.493 kr/m²,3,1989,,Aktuel værdi
Rækkehus RRækkehus Grønnegade 10C  6971 Spjald,1.100.000 kr.,27-12-2022Alm. Salg,71 m² 15.493 kr/m²,3,1989,,Aktuel værdi
Villa VVilla Korsvej 6  6880 Tarm,390.000 kr.,26-12-2022Alm. Salg,114 m² 3.421 kr/m²,4,1918,,Aktuel værdi
Villa VVilla Kildevej 33  6940 Lem St,1.580.000 kr.,22-12-2022Alm. Salg,151 m² 10.464 kr/m²,4,1972,-1%,Aktuel værdi
Villa VVilla Kirkevej 19  6880 Tarm,840.000 kr.,21-12-2022Alm. Salg,132 m² 6.364 kr/m²,5,1935,-5%,Aktuel værdi
Villa VVilla Svinget 16  6900 Skjern,780.000 kr.,20-12-2022Alm. Salg,96 m² 8.125 kr/m²,5,1946,,Aktuel værdi
Villa VVilla Sortbærvej 4D  6920 Videbæk,391.000 kr.,20-12-2022Alm. Salg,124 m² 3.153 kr/m²,4,1982,,Aktuel værdi
Villa VVilla Dalgårdsgade 1  6920 Videbæk,228.000 kr.,19-12-2022Fam. Salg,95 m² 2.400 kr/m²,4,1936,,Aktuel værdi
Villa VVilla Vinkelvej 5  6971 Spjald,1.741.000 kr.,19-12-2022Fam. Salg,74 m² 23.527 kr/m²,4,1942,,Aktuel værdi
Villa VVilla Birkevænget 29  6900 Skjern,950.000 kr.,19-12-2022Alm. Salg,175 m² 5.429 kr/m²,4,1973,-5%,Aktuel værdi
Villa VVilla Firkløvervej 2  6960 Hvide Sande,550.000 kr.,19-12-2022Alm. Salg,81 m² 6.790 kr/m²,3,1957,,Aktuel værdi
Rækkehus RRækkehus Nylandsvej 11  6900 Skjern,625.000 kr.,18-12-2022Alm. Salg,79 m² 7.911 kr/m²,3,1905,-4%,Aktuel værdi
Villa VVilla Fjordbrinken 18  6950 Ringkøbing,2.525.000 kr.,18-12-2022Fam. Salg,307 m² 8.225 kr/m²,6,2014,,Aktuel værdi
Villa VVilla Kernevej 37  6940 Lem St,425.000 kr.,18-12-2022Alm. Salg,151 m² 2.815 kr/m²,5,1982,-29%,Aktuel værdi
Villa VVilla Danmarksgade 34  6900 Skjern,1.200.000 kr.,15-12-2022Alm. Salg,150 m² 8.000 kr/m²,6,1935,-11%,Aktuel værdi
Villa VVilla Åparken 34  6880 Tarm,2.290.000 kr.,15-12-2022Alm. Salg,156 m² 14.679 kr/m²,4,1998,,Aktuel værdi
Villa VVilla Ølstrupvej 20  6950 Ringkøbing,698.000 kr.,15-12-2022Alm. Salg,153 m² 4.562 kr/m²,7,1961,,Aktuel værdi
Ejerlejlighed EEjerlejlighed Engsiggade 4A  6900 Skjern,675.000 kr.,14-12-2022Alm. Salg,87 m² 7.759 kr/m²,3,1981,,Aktuel værdi
Villa VVilla Klostermarken 64  6900 Skjern,1.795.000 kr.,14-12-2022Alm. Salg,142 m² 12.641 kr/m²,5,1986,,Aktuel værdi
Villa VVilla Glentevej 18  6950 Ringkøbing,1.500.000 kr.,14-12-2022Alm. Salg,110 m² 13.636 kr/m²,4,1975,,Aktuel værdi
Villa VVilla Nygade 59H  6900 Skjern,500.000 kr.,14-12-2022Andet,121 m² 4.132 kr/m²,4,2023,,Aktuel værdi
