Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Kastanievej 1  7171 Uldum,607.031 kr.,29-12-2022Alm. Salg,133 m² 4.564 kr/m²,4,1884,,Aktuel værdi
Villa VVilla Fjordvej 7  7130 Juelsminde,2.950.000 kr.,28-12-2022Alm. Salg,179 m² 16.480 kr/m²,6,1965,,Aktuel værdi
Villa VVilla Smedskærlund 5  7140 Stouby,256.915 kr.,28-12-2022Alm. Salg,108 m² 2.379 kr/m²,3,1863,,Aktuel værdi
Villa VVilla Holmen 2  7130 Juelsminde,250.000 kr.,26-12-2022Alm. Salg,145 m² 1.724 kr/m²,4,1880,,Aktuel værdi
Villa VVilla Nøttrupvej 13  7130 Juelsminde,300.000 kr.,21-12-2022Alm. Salg,156 m² 1.923 kr/m²,7,1800,-20%,Aktuel værdi
Villa VVilla Dybdalvej 8  7160 Tørring,2.025.000 kr.,20-12-2022Alm. Salg,190 m² 10.658 kr/m²,6,1998,-6%,Aktuel værdi
Villa VVilla Pilevangen 24  8783 Hornsyld,800.000 kr.,20-12-2022Alm. Salg,104 m² 7.018 kr/m²,5,1970,-11%,Aktuel værdi
Villa VVilla Vesterbovej 1  7171 Uldum,1.200.000 kr.,19-12-2022Andet,179 m² 6.704 kr/m²,5,1880,,Aktuel værdi
Villa VVilla Grønnevang 34  8722 Hedensted,3.375.000 kr.,19-12-2022Alm. Salg,179 m² 18.855 kr/m²,5,2007,-3%,Aktuel værdi
Villa VVilla Vejlevej 39  7130 Juelsminde,1.950.000 kr.,18-12-2022Andet,195 m² 10.000 kr/m²,5,1930,,Aktuel værdi
Villa VVilla Østrupvej 13  7130 Juelsminde,760.000 kr.,18-12-2022Andet,87 m² 8.736 kr/m²,2,1924,-74%,Aktuel værdi
Villa VVilla Overbyvej 62  7130 Juelsminde,1.125.000 kr.,18-12-2022Alm. Salg,131 m² 8.588 kr/m²,4,1971,-13%,Aktuel værdi
Villa VVilla Saturnvej 67  8723 Løsning,2.200.000 kr.,18-12-2022Alm. Salg,129 m² 17.054 kr/m²,4,2007,-4%,Aktuel værdi
Villa VVilla Nedergårdsvej 1  7130 Juelsminde,695.000 kr.,16-12-2022Alm. Salg,103 m² 6.748 kr/m²,6,1934,,Aktuel værdi
Rækkehus RRækkehus Rosenvænget 2B  7171 Uldum,695.000 kr.,14-12-2022Alm. Salg,62 m² 11.210 kr/m²,2,1984,,Aktuel værdi
Villa VVilla Skolehaven 7  7160 Tørring,38.740.000 kr.,14-12-2022Fam. Salg,186 m² 208.280 kr/m²,6,1977,,Aktuel værdi
Villa VVilla Grønlund 25  7160 Tørring,540.000 kr.,14-12-2022Alm. Salg,180 m² 3.000 kr/m²,5,0,,Aktuel værdi
Villa VVilla Thyras Vænge 84  7100 Vejle,750.000 kr.,14-12-2022Alm. Salg,174 m² 4.310 kr/m²,5,0,,Aktuel værdi
Rækkehus RRækkehus Rosavej 5A  7160 Tørring,900.000 kr.,13-12-2022Fam. Salg,74 m² 12.162 kr/m²,3,1986,,Aktuel værdi
