Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
"Ejerlejlighed EEjerlejlighed Taastrup Vænge 35, 2. 2  2630 Taastrup",442.000 kr.,30-12-2022Fam. Salg,42 m² 10.524 kr/m²,1,1973,,Aktuel værdi
Villa VVilla Løvtoften 21  2630 Taastrup,4.700.000 kr.,30-12-2022Alm. Salg,198 m² 23.737 kr/m²,6,1969,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Rønnevangshusene 41, 1. mf  2630 Taastrup",1.160.000 kr.,28-12-2022Alm. Salg,47 m² 24.681 kr/m²,1,1970,-11%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vesterkøb 8, st. th  2640 Hedehusene",4.800.000 kr.,28-12-2022Alm. Salg,55 m² 87.273 kr/m²,1,1935,,Aktuel værdi
Rækkehus RRækkehus Rønnevangshusene 194  2630 Taastrup,2.500.000 kr.,27-12-2022Alm. Salg,93 m² 26.882 kr/m²,4,1969,-2%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Spaden B 4, st. 4  2630 Taastrup",390.000 kr.,26-12-2022Fam. Salg,36 m² 10.833 kr/m²,1,1973,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Saksen D 4, 1. 3  2630 Taastrup",2.315.000 kr.,23-12-2022Alm. Salg,116 m² 19.957 kr/m²,4,1972,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hedekæret 55, st. 1  2640 Hedehusene",975.000 kr.,21-12-2022Alm. Salg,49 m² 19.898 kr/m²,1,1970,-2%,Aktuel værdi
Villa VVilla Midtervej 27  2630 Taastrup,3.300.000 kr.,21-12-2022Alm. Salg,133 m² 24.812 kr/m²,4,1969,-8%,Aktuel værdi
Villa VVilla Rødkælkevej 49  2630 Taastrup,3.695.000 kr.,21-12-2022Alm. Salg,72 m² 51.319 kr/m²,3,1957,,Aktuel værdi
Villa VVilla Stenalderen 126  2640 Hedehusene,3.550.000 kr.,21-12-2022Alm. Salg,174 m² 20.402 kr/m²,6,1978,-7%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hedekæret 3, 2. tv  2640 Hedehusene",1.525.000 kr.,15-12-2022Alm. Salg,70 m² 21.786 kr/m²,3,1968,-10%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Spaden C 1, 2. 2  2630 Taastrup",110.500 kr.,14-12-2022Fam. Salg,120 m² 921 kr/m²,4,1973,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lindevangshusene 66, 2. th  2630 Taastrup",1.925.000 kr.,14-12-2022Alm. Salg,79 m² 24.367 kr/m²,3,1968,,Aktuel værdi
Villa VVilla Digeager 13  2640 Hedehusene,1.552.245 kr.,14-12-2022Fam. Salg,136 m² 11.414 kr/m²,4,1972,,Aktuel værdi
Villa VVilla Rødkælkevej 48  2630 Taastrup,2.675.000 kr.,12-12-2022Alm. Salg,109 m² 24.541 kr/m²,4,1960,-23%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Cikoriegade 17, 1. 3  2640 Hedehusene",2.545.000 kr.,11-12-2022Alm. Salg,83 m² 30.663 kr/m²,4,2020,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Spaden B 1, 3. 3  2630 Taastrup",2.000.000 kr.,10-12-2022Alm. Salg,102 m² 19.608 kr/m²,4,1973,-4%,Aktuel værdi
Villa VVilla Hovedgaden 541  2640 Hedehusene,125.125 kr.,08-12-2022Alm. Salg,128 m² 978 kr/m²,5,1900,,Aktuel værdi
Villa VVilla Nørrekær 13  2640 Hedehusene,1.200.000 kr.,06-12-2022Alm. Salg,118 m² 10.169 kr/m²,5,1877,,Aktuel værdi
Rækkehus RRækkehus Baunevej 53  2630 Taastrup,2.505.000 kr.,05-12-2022Alm. Salg,82 m² 30.549 kr/m²,4,1965,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Saven D 1, 1. 3  2630 Taastrup",2.250.000 kr.,05-12-2022Alm. Salg,120 m² 18.750 kr/m²,4,1974,-6%,Aktuel værdi
Villa VVilla Solvang 64  2640 Hedehusene,3.000.000 kr.,05-12-2022Fam. Salg,115 m² 22.222 kr/m²,4,1974,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Murskeen 5, 2. 70  2630 Taastrup",1.615.000 kr.,03-12-2022Alm. Salg,70 m² 23.071 kr/m²,2,1973,-5%,Aktuel værdi
Rækkehus RRækkehus Nordengen 5  2630 Taastrup,2.750.000 kr.,30-11-2022Alm. Salg,104 m² 26.442 kr/m²,4,1963,-2%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Saksen D 1, st. 1  2630 Taastrup",1.400.000 kr.,30-11-2022Alm. Salg,57 m² 24.561 kr/m²,2,1972,-10%,Aktuel værdi
Rækkehus RRækkehus Ibsensvej 61  2630 Taastrup,2.995.000 kr.,29-11-2022Alm. Salg,104 m² 28.798 kr/m²,4,1961,-3%,Aktuel værdi
Villa VVilla Birkemosen 2  2640 Hedehusene,2.200.000 kr.,29-11-2022Alm. Salg,109 m² 20.183 kr/m²,4,1966,-12%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Murskeen 7, 1. 97  2630 Taastrup",1.450.000 kr.,28-11-2022Alm. Salg,70 m² 20.714 kr/m²,2,1973,-3%,Aktuel værdi
Villa VVilla Rødhøjgårdsvej 31  2630 Taastrup,3.200.000 kr.,27-11-2022Alm. Salg,143 m² 22.378 kr/m²,4,1971,-11%,Aktuel værdi
Villa VVilla Sletteager 4  2640 Hedehusene,1.667.500 kr.,24-11-2022Fam. Salg,155 m² 10.758 kr/m²,5,1979,,Aktuel værdi
Rækkehus RRækkehus Skagensgade 34  2630 Taastrup,2.750.000 kr.,23-11-2022Alm. Salg,111 m² 24.775 kr/m²,4,1986,-5%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Taastrup Have 49, st. th  2630 Taastrup",1.300.000 kr.,23-11-2022Alm. Salg,57 m² 22.807 kr/m²,2,1964,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Søbakkevej 4, 2. 2  2640 Hedehusene",2.500.000 kr.,23-11-2022Alm. Salg,72 m² 34.722 kr/m²,3,2022,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lindebo 29, 2. 178  2630 Taastrup",1.050.000 kr.,22-11-2022Alm. Salg,42 m² 25.000 kr/m²,1,1975,-5%,Aktuel værdi
Villa VVilla Fredensvej 35  2630 Taastrup,3.000.000 kr.,21-11-2022Fam. Salg,117 m² 25.641 kr/m²,4,1956,,Aktuel værdi
Villa VVilla Snebærvej 4  2640 Hedehusene,3.420.000 kr.,21-11-2022Alm. Salg,130 m² 26.308 kr/m²,4,1963,-2%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lindebo 21, 1. 128  2630 Taastrup",2.025.000 kr.,20-11-2022Alm. Salg,79 m² 25.633 kr/m²,3,1975,-7%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Taastrup Have 16, 1. th  2630 Taastrup",1.375.000 kr.,20-11-2022Alm. Salg,61 m² 22.541 kr/m²,2,1963,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Reerslevvej 17, st. th  2640 Hedehusene",1.700.000 kr.,20-11-2022Alm. Salg,85 m² 20.000 kr/m²,3,1934,-6%,Aktuel værdi
Villa VVilla Skjørrings Vænge 8  2640 Hedehusene,1.900.000 kr.,20-11-2022Alm. Salg,87 m² 21.839 kr/m²,3,1927,-13%,Aktuel værdi
Rækkehus RRækkehus Budstikken 148  2630 Taastrup,3.995.000 kr.,19-11-2022Alm. Salg,147 m² 27.177 kr/m²,6,1970,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Spaden A 3, st. 2  2630 Taastrup",800.000 kr.,19-11-2022Alm. Salg,36 m² 22.222 kr/m²,1,1973,-20%,Aktuel værdi
Villa VVilla Stjernedalen 8  2640 Hedehusene,2.600.000 kr.,19-11-2022Alm. Salg,132 m² 19.697 kr/m²,5,1970,-13%,Aktuel værdi
Rækkehus RRækkehus Baunevej 75  2630 Taastrup,2.100.000 kr.,17-11-2022Alm. Salg,82 m² 25.610 kr/m²,4,1965,-8%,Aktuel værdi
Villa VVilla Ved Kæret 4  2630 Taastrup,3.400.000 kr.,17-11-2022Alm. Salg,350 m² 9.714 kr/m²,6,1700,-15%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Parkvej 147, 2. tv  2630 Taastrup",1.665.000 kr.,16-11-2022Alm. Salg,73 m² 22.808 kr/m²,2,1972,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hedekæret 54, 2. th  2640 Hedehusene",1.690.000 kr.,15-11-2022Alm. Salg,70 m² 24.143 kr/m²,3,1971,-6%,Aktuel værdi
Villa VVilla Hyrdevangen 15  2640 Hedehusene,2.541.500 kr.,15-11-2022Auktion,114 m² 22.294 kr/m²,4,1952,,Aktuel værdi
Rækkehus RRækkehus Tjørnehaven 34  2630 Taastrup,1.232.500 kr.,13-11-2022Fam. Salg,100 m² 12.325 kr/m²,4,1965,,Aktuel værdi
Villa VVilla Gl. Søvej 6  2640 Hedehusene,2.805.000 kr.,13-11-2022Alm. Salg,104 m² 26.971 kr/m²,4,1930,4%,Aktuel værdi
Rækkehus RRækkehus Storager 13  2640 Hedehusene,2.000.000 kr.,10-11-2022Alm. Salg,95 m² 21.053 kr/m²,5,1962,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lindevangshusene 72, 1. th  2630 Taastrup",1.845.000 kr.,10-11-2022Alm. Salg,79 m² 23.354 kr/m²,3,1968,-7%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Taastrup Vænge 43, 1. 3  2630 Taastrup",1.200.000 kr.,10-11-2022Alm. Salg,42 m² 28.571 kr/m²,1,1973,-7%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Taastrup Have 22, st. th  2630 Taastrup",1.450.000 kr.,10-11-2022Alm. Salg,61 m² 23.770 kr/m²,2,1963,-3%,Aktuel værdi
Rækkehus RRækkehus Søndertoften 102  2630 Taastrup,349.500 kr.,09-11-2022Andet,137 m² 2.551 kr/m²,6,1968,,Aktuel værdi
Rækkehus RRækkehus Røjlehaven 97  2630 Taastrup,2.075.000 kr.,09-11-2022Alm. Salg,82 m² 25.305 kr/m²,4,1965,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Taastrup Vænge 43, 2. 1  2630 Taastrup",2.000.000 kr.,09-11-2022Alm. Salg,73 m² 27.397 kr/m²,3,1973,,Aktuel værdi
Rækkehus RRækkehus Ibsensvej 81  2630 Taastrup,3.000.000 kr.,06-11-2022Alm. Salg,80 m² 37.500 kr/m²,4,1961,0%,Aktuel værdi
Villa VVilla Spangåvej 18A  2630 Taastrup,3.450.000 kr.,06-11-2022Alm. Salg,137 m² 25.182 kr/m²,4,1987,-6%,Aktuel værdi
Ejerlejlighed EEjerlejlighed Hvidestensparken 3F  2630 Taastrup,1.375.000 kr.,05-11-2022Fam. Salg,158 m² 8.703 kr/m²,3,2006,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lindebo 5, 1. 31  2630 Taastrup",1.005.000 kr.,31-10-2022Alm. Salg,42 m² 23.929 kr/m²,1,1972,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Urtehaven 15, st. 5  2640 Hedehusene",2.225.000 kr.,31-10-2022Alm. Salg,86 m² 25.872 kr/m²,3,2018,-14%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Valbyvej 20A, 1. tv  2630 Taastrup",1.850.000 kr.,30-10-2022Alm. Salg,64 m² 28.906 kr/m²,2,1962,-7%,Aktuel værdi
Villa VVilla Rønnevej 5  2640 Hedehusene,1.050.500 kr.,30-10-2022Fam. Salg,90 m² 11.672 kr/m²,4,1958,,Aktuel værdi
Villa VVilla Bredekær 4  2640 Hedehusene,4.510.000 kr.,30-10-2022Alm. Salg,132 m² 34.167 kr/m²,4,1965,3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Taastrup Vænge 51, 2. 2  2630 Taastrup",1.050.000 kr.,29-10-2022Alm. Salg,42 m² 25.000 kr/m²,1,1973,-17%,Aktuel værdi
Rækkehus RRækkehus Søndertoften 45  2630 Taastrup,2.700.000 kr.,27-10-2022Alm. Salg,134 m² 20.149 kr/m²,6,1967,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Søbakkevej 4, 4  2640 Hedehusene",4.200.000 kr.,27-10-2022Alm. Salg,108 m² 38.889 kr/m²,4,2022,-2%,Aktuel værdi
Rækkehus RRækkehus Storager 1  2640 Hedehusene,1.455.841 kr.,26-10-2022Auktion,76 m² 19.156 kr/m²,3,1962,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Murskeen 4, 3. 58  2630 Taastrup",1.800.000 kr.,26-10-2022Alm. Salg,70 m² 25.714 kr/m²,2,1973,-3%,Aktuel værdi
Rækkehus RRækkehus Urtehaven 21  2640 Hedehusene,3.970.000 kr.,25-10-2022Alm. Salg,106 m² 37.453 kr/m²,4,2018,1%,Aktuel værdi
Villa VVilla Rolighedsvej 4  2630 Taastrup,950.000 kr.,25-10-2022Alm. Salg,118 m² 8.051 kr/m²,4,1932,,Aktuel værdi
