Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Lindevej 4  6630 Rødding,562.507 kr.,27-12-2022Alm. Salg,138 m² 4.076 kr/m²,5,1953,,Aktuel værdi
Villa VVilla Egevænget 31  6600 Vejen,1.975.000 kr.,23-12-2022Alm. Salg,171 m² 11.550 kr/m²,5,1973,-6%,Aktuel værdi
Villa VVilla Hovedgaden 51  6621 Gesten,895.000 kr.,22-12-2022Alm. Salg,145 m² 6.172 kr/m²,5,1914,,Aktuel værdi
Villa VVilla Borgergade 12  6752 Glejbjerg,1.225.000 kr.,22-12-2022Alm. Salg,161 m² 7.609 kr/m²,4,1969,,Aktuel værdi
Villa VVilla Rugvænget 14  6600 Vejen,1.965.000 kr.,21-12-2022Alm. Salg,222 m² 8.851 kr/m²,6,1970,,Aktuel værdi
Villa VVilla Langforte 4  6630 Rødding,650.000 kr.,21-12-2022Alm. Salg,160 m² 4.063 kr/m²,5,1827,,Aktuel værdi
Rækkehus RRækkehus Stadionvej 2B  6650 Brørup,800.000 kr.,20-12-2022Alm. Salg,83 m² 9.639 kr/m²,4,1929,-36%,Aktuel værdi
Rækkehus RRækkehus Stadionvej 2C  6650 Brørup,800.000 kr.,20-12-2022Alm. Salg,83 m² 9.639 kr/m²,4,1929,-36%,Aktuel værdi
Rækkehus RRækkehus Stadionvej 2A  6650 Brørup,800.000 kr.,20-12-2022Alm. Salg,120 m² 6.667 kr/m²,5,1929,-36%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Jernbanegade 8, 1  6650 Brørup",800.000 kr.,20-12-2022Alm. Salg,110 m² 7.273 kr/m²,4,1929,-36%,Aktuel værdi
Villa VVilla Baunevej 9  6622 Bække,247.196 kr.,20-12-2022Andet,108 m² 2.289 kr/m²,5,1962,,Aktuel værdi
Villa VVilla Tværvej 7  6622 Bække,499.641 kr.,20-12-2022Andet,115 m² 4.345 kr/m²,5,1910,,Aktuel værdi
Rækkehus RRækkehus Gejsingvej 6E  6600 Vejen,7.040.909 kr.,19-12-2022Alm. Salg,93 m² 75.709 kr/m²,3,2017,,Aktuel værdi
Rækkehus RRækkehus Gejsingvej 6L  6600 Vejen,7.040.909 kr.,19-12-2022Alm. Salg,93 m² 75.709 kr/m²,3,2017,,Aktuel værdi
Rækkehus RRækkehus Gejsingvej 6G  6600 Vejen,7.040.909 kr.,19-12-2022Alm. Salg,93 m² 75.709 kr/m²,3,2017,,Aktuel værdi
Rækkehus RRækkehus Gejsingvej 6H  6600 Vejen,7.040.909 kr.,19-12-2022Alm. Salg,93 m² 75.709 kr/m²,3,2017,,Aktuel værdi
Rækkehus RRækkehus Gejsingvej 6F  6600 Vejen,7.040.909 kr.,19-12-2022Alm. Salg,93 m² 75.709 kr/m²,3,2017,,Aktuel værdi
Rækkehus RRækkehus Gejsingvej 6K  6600 Vejen,7.040.909 kr.,19-12-2022Alm. Salg,93 m² 75.709 kr/m²,3,2017,,Aktuel værdi
Villa VVilla Bakkevænge 7  6630 Rødding,380.000 kr.,19-12-2022Alm. Salg,111 m² 3.423 kr/m²,5,1970,,Aktuel værdi
Villa VVilla Thomsensvej 10  6600 Vejen,720.000 kr.,19-12-2022Alm. Salg,117 m² 6.154 kr/m²,3,1936,-7%,Aktuel værdi
Villa VVilla Læborgvej 4A  6600 Vejen,268.500 kr.,18-12-2022Alm. Salg,64 m² 4.195 kr/m²,2,1890,,Aktuel værdi
Villa VVilla Barsbøl Søndermark 18  6630 Rødding,348.841 kr.,18-12-2022Alm. Salg,213 m² 1.638 kr/m²,6,0,,Aktuel værdi
Villa VVilla Krøgebækvej 27  6682 Hovborg,4.500.000 kr.,15-12-2022Andet,117 m² 38.462 kr/m²,2,1884,,Aktuel værdi
Villa VVilla Rahbæks Alle 3  6650 Brørup,748.000 kr.,15-12-2022Alm. Salg,86 m² 8.698 kr/m²,4,1900,0%,Aktuel værdi
Villa VVilla Østergade 8  6600 Vejen,1.175.000 kr.,15-12-2022Alm. Salg,108 m² 10.880 kr/m²,3,1955,-6%,Aktuel værdi
Villa VVilla Holmeåvej 7  6682 Hovborg,695.000 kr.,14-12-2022Alm. Salg,152 m² 4.572 kr/m²,5,1905,,Aktuel værdi
Villa VVilla Danmarksgade 6  6600 Vejen,1.050.000 kr.,14-12-2022Alm. Salg,91 m² 11.538 kr/m²,3,1945,-16%,Aktuel værdi
Villa VVilla Kløvervej 10  6630 Rødding,1.657.500 kr.,13-12-2022Alm. Salg,180 m² 9.208 kr/m²,7,1967,,Aktuel værdi
Villa VVilla Surhavevej 27  6650 Brørup,355.000 kr.,13-12-2022Alm. Salg,96 m² 3.698 kr/m²,4,1937,,Aktuel værdi
Rækkehus RRækkehus Vejenvej 11B  6600 Vejen,640.000 kr.,12-12-2022Alm. Salg,48 m² 13.333 kr/m²,2,1990,,Aktuel værdi
Villa VVilla Krøgebækvej 5  6682 Hovborg,700.000 kr.,12-12-2022Alm. Salg,147 m² 4.762 kr/m²,5,1940,-6%,Aktuel værdi
Villa VVilla Glibstrupvej 32B  6600 Vejen,1.435.000 kr.,12-12-2022Alm. Salg,134 m² 10.709 kr/m²,4,1964,-4%,Aktuel værdi
Villa VVilla Hygummark 2  6630 Rødding,1.650.000 kr.,12-12-2022Alm. Salg,187 m² 8.824 kr/m²,4,2008,-5%,Aktuel værdi
Villa VVilla Skodborg Engvej 21  6630 Rødding,700.000 kr.,12-12-2022Alm. Salg,140 m² 5.000 kr/m²,4,1971,-12%,Aktuel værdi
Villa VVilla Søparken 17  6650 Brørup,1.150.000 kr.,12-12-2022Fam. Salg,179 m² 6.425 kr/m²,5,2007,,Aktuel værdi
Villa VVilla Maltvej 68  6600 Vejen,4.000.000 kr.,11-12-2022Alm. Salg,231 m² 17.316 kr/m²,7,1995,,Aktuel værdi
Villa VVilla Dalgårdsvej 132  6600 Vejen,2.895.000 kr.,11-12-2022Alm. Salg,195 m² 14.846 kr/m²,7,1998,,Aktuel værdi
Villa VVilla Planetparken 22  6630 Rødding,359.000 kr.,11-12-2022Alm. Salg,152 m² 2.362 kr/m²,4,0,,Aktuel værdi
Villa VVilla Mølvejgårdsvej 13  6630 Rødding,1.600.000 kr.,09-12-2022Alm. Salg,230 m² 6.957 kr/m²,6,1920,,Aktuel værdi
Rækkehus RRækkehus Østre Alle 12  6670 Holsted,170.000 kr.,08-12-2022Fam. Salg,95 m² 1.789 kr/m²,3,1920,,Aktuel værdi
Villa VVilla Grønningen 5  6600 Vejen,2.715.000 kr.,08-12-2022Alm. Salg,159 m² 17.075 kr/m²,5,2003,-3%,Aktuel værdi
Villa VVilla Kirsebærvej 27  6600 Vejen,1.845.000 kr.,07-12-2022Alm. Salg,171 m² 10.789 kr/m²,5,1979,,Aktuel værdi
Villa VVilla Rovedvej 24  6600 Vejen,2.500.000 kr.,07-12-2022Alm. Salg,181 m² 13.812 kr/m²,5,1922,,Aktuel værdi
Villa VVilla Frederiksbergvej 23  6600 Vejen,570.000 kr.,07-12-2022Alm. Salg,80 m² 7.125 kr/m²,4,1946,,Aktuel værdi
Villa VVilla Kongehøj 25  6600 Vejen,2.975.000 kr.,07-12-2022Alm. Salg,180 m² 16.528 kr/m²,6,2008,3%,Aktuel værdi
"Villa VVilla Østergade 27, st  6630 Rødding",1.570.000 kr.,05-12-2022Alm. Salg,192 m² 8.177 kr/m²,6,1930,-5%,Aktuel værdi
Villa VVilla Øster Lindet Præstegårdsvej 3  6630 Rødding,845.000 kr.,04-12-2022Alm. Salg,115 m² 7.348 kr/m²,4,1957,,Aktuel værdi
Villa VVilla Stadionvej 24  6650 Brørup,1.220.000 kr.,01-12-2022Alm. Salg,89 m² 13.708 kr/m²,3,1998,-2%,Aktuel værdi
Villa VVilla Grunnetsgade 37  6600 Vejen,735.000 kr.,01-12-2022Alm. Salg,122 m² 6.025 kr/m²,4,1944,-2%,Aktuel værdi
Rækkehus RRækkehus Høgevej 11A  6600 Vejen,987.500 kr.,30-11-2022Alm. Salg,85 m² 11.618 kr/m²,3,1978,,Aktuel værdi
Villa VVilla Nørregade 72  6600 Vejen,815.000 kr.,30-11-2022Alm. Salg,81 m² 10.062 kr/m²,3,1944,,Aktuel værdi
Villa VVilla Glibstrupvej 5  6600 Vejen,750.000 kr.,30-11-2022Alm. Salg,117 m² 6.410 kr/m²,4,1972,1%,Aktuel værdi
Villa VVilla Mågevej 62  6600 Vejen,1.600.000 kr.,30-11-2022Alm. Salg,142 m² 11.268 kr/m²,4,1986,,Aktuel værdi
Villa VVilla Æblevænget 20  6600 Vejen,1.995.000 kr.,28-11-2022Alm. Salg,173 m² 11.532 kr/m²,5,1974,,Aktuel værdi
Villa VVilla Vestergade 30  6650 Brørup,450.000 kr.,28-11-2022Alm. Salg,124 m² 3.629 kr/m²,5,1926,,Aktuel værdi
Villa VVilla Foldingbrovej 41  6650 Brørup,500.000 kr.,28-11-2022Alm. Salg,201 m² 2.488 kr/m²,6,1890,,Aktuel værdi
Villa VVilla Søvej 14  6630 Rødding,1.700.000 kr.,27-11-2022Alm. Salg,218 m² 7.798 kr/m²,5,0,,Aktuel værdi
Villa VVilla Søvej 14  6630 Rødding,1.700.000 kr.,27-11-2022Alm. Salg,136 m² 12.500 kr/m²,6,1964,,Aktuel værdi
Villa VVilla Bakkegårdsparken 54  6630 Rødding,1.700.000 kr.,24-11-2022Alm. Salg,152 m² 11.184 kr/m²,6,1997,-4%,Aktuel værdi
Villa VVilla Skjoldborgsvej 5  6600 Vejen,1.300.000 kr.,24-11-2022Fam. Salg,103 m² 12.621 kr/m²,4,1966,,Aktuel værdi
Villa VVilla Lille Veumvej 1  6650 Brørup,3.145.000 kr.,24-11-2022Fam. Salg,250 m² 12.580 kr/m²,7,1827,,Aktuel værdi
Villa VVilla Haurumvej 6  6630 Rødding,2.995.000 kr.,23-11-2022Alm. Salg,130 m² 23.038 kr/m²,5,1974,,Aktuel værdi
Villa VVilla Ryttervænget 59  6752 Glejbjerg,1.400.000 kr.,23-11-2022Fam. Salg,163 m² 8.589 kr/m²,4,2000,,Aktuel værdi
Villa VVilla Jelshøjvej 36  6600 Vejen,230.000 kr.,22-11-2022Alm. Salg,138 m² 1.667 kr/m²,4,1907,,Aktuel værdi
Villa VVilla Rugholmvej 11  6600 Vejen,650.000 kr.,22-11-2022Alm. Salg,137 m² 4.745 kr/m²,5,1920,-18%,Aktuel værdi
Villa VVilla Søvej 30  6630 Rødding,1.295.000 kr.,22-11-2022Alm. Salg,80 m² 16.188 kr/m²,4,1953,-4%,Aktuel værdi
Villa VVilla Foldingbrovej 1B  6670 Holsted,530.000 kr.,22-11-2022Alm. Salg,78 m² 6.795 kr/m²,3,1955,,Aktuel værdi
Villa VVilla Ribe-Vejle Landevej 120  6622 Bække,565.000 kr.,21-11-2022Alm. Salg,111 m² 5.090 kr/m²,4,1941,-6%,Aktuel værdi
Rækkehus RRækkehus Overmarken 21D  6670 Holsted,498.000 kr.,20-11-2022Alm. Salg,75 m² 6.640 kr/m²,3,1977,,Aktuel værdi
Villa VVilla Dalgårdsvej 51  6600 Vejen,1.750.000 kr.,20-11-2022Alm. Salg,137 m² 12.774 kr/m²,4,1986,-3%,Aktuel værdi
Villa VVilla Bromindevej 13  6650 Brørup,725.000 kr.,20-11-2022Alm. Salg,138 m² 5.254 kr/m²,4,1910,-3%,Aktuel værdi
Villa VVilla Drivervej 10  6670 Holsted,1.095.000 kr.,19-11-2022Alm. Salg,154 m² 7.110 kr/m²,6,1993,,Aktuel værdi
Villa VVilla Vestervang 27  6683 Føvling,1.227.000 kr.,19-11-2022Alm. Salg,131 m² 9.366 kr/m²,4,2007,4%,Aktuel værdi
Villa VVilla Østergade 25  6670 Holsted,950.000 kr.,17-11-2022Alm. Salg,108 m² 8.796 kr/m²,4,1964,-5%,Aktuel værdi
Villa VVilla Rovedvej 9  6600 Vejen,1.500.000 kr.,17-11-2022Alm. Salg,173 m² 8.671 kr/m²,5,1900,,Aktuel værdi
Villa VVilla Vestre Maltvej 17  6650 Brørup,1.945.000 kr.,17-11-2022Alm. Salg,118 m² 16.483 kr/m²,5,1977,-3%,Aktuel værdi
Villa VVilla Trøjborgvej 12  6630 Rødding,580.000 kr.,17-11-2022Alm. Salg,104 m² 5.577 kr/m²,4,1966,-17%,Aktuel værdi
Villa VVilla Rølkjær 24  6600 Vejen,996.302 kr.,17-11-2022Andet,151 m² 6.598 kr/m²,5,2017,,Aktuel værdi
Villa VVilla Håndværkervej 14  6600 Vejen,1.500.000 kr.,16-11-2022Alm. Salg,178 m² 8.427 kr/m²,4,1977,-25%,Aktuel værdi
Villa VVilla Vestervang 4  6650 Brørup,705.000 kr.,15-11-2022Alm. Salg,160 m² 4.406 kr/m²,5,1966,-21%,Aktuel værdi
Villa VVilla Ribevej 34  6630 Rødding,400.000 kr.,15-11-2022Alm. Salg,191 m² 2.094 kr/m²,4,1900,,Aktuel værdi
Villa VVilla Tobøl Fælledvej 2  6683 Føvling,370.000 kr.,14-11-2022Alm. Salg,108 m² 3.426 kr/m²,4,1962,,Aktuel værdi
Rækkehus RRækkehus Bakkegårdsparken 124A  6630 Rødding,750.000 kr.,13-11-2022Alm. Salg,120 m² 6.250 kr/m²,4,1985,,Aktuel værdi
Villa VVilla Terpvej 59  6630 Rødding,150.000 kr.,13-11-2022Alm. Salg,123 m² 1.220 kr/m²,6,1877,,Aktuel værdi
Villa VVilla Hovedgaden 70  6621 Gesten,886.165 kr.,13-11-2022Fam. Salg,283 m² 3.131 kr/m²,5,1906,,Aktuel værdi
Villa VVilla Vester Alle 67  6600 Vejen,1.090.000 kr.,13-11-2022Alm. Salg,108 m² 10.093 kr/m²,3,1950,-21%,Aktuel værdi
Villa VVilla Bakkevej 3  6600 Vejen,812.500 kr.,12-11-2022Alm. Salg,151 m² 5.381 kr/m²,5,1938,-9%,Aktuel værdi
Villa VVilla Morbærvej 37  6600 Vejen,1.795.000 kr.,11-11-2022Alm. Salg,132 m² 13.598 kr/m²,5,1977,,Aktuel værdi
Villa VVilla Bøgealle 8  6630 Rødding,650.000 kr.,11-11-2022Alm. Salg,172 m² 3.779 kr/m²,5,1965,-13%,Aktuel værdi
Villa VVilla Byagervej 140  6650 Brørup,600.000 kr.,10-11-2022Alm. Salg,122 m² 4.918 kr/m²,4,1979,,Aktuel værdi
Villa VVilla Østergade 40  6630 Rødding,650.000 kr.,10-11-2022Alm. Salg,120 m² 5.417 kr/m²,5,1897,-6%,Aktuel værdi
Rækkehus RRækkehus Skolegade 7B  6622 Bække,8.000.000 kr.,09-11-2022Alm. Salg,96 m² 83.333 kr/m²,3,2022,,Aktuel værdi
Rækkehus RRækkehus Skolegade 7F  6622 Bække,8.000.000 kr.,09-11-2022Alm. Salg,96 m² 83.333 kr/m²,4,2022,,Aktuel værdi
Rækkehus RRækkehus Skolegade 7E  6622 Bække,8.000.000 kr.,09-11-2022Alm. Salg,96 m² 83.333 kr/m²,4,2022,,Aktuel værdi
Rækkehus RRækkehus Skolegade 7D  6622 Bække,8.000.000 kr.,09-11-2022Alm. Salg,96 m² 83.333 kr/m²,3,2022,,Aktuel værdi
Rækkehus RRækkehus Skolegade 7C  6622 Bække,8.000.000 kr.,09-11-2022Alm. Salg,96 m² 83.333 kr/m²,3,2022,,Aktuel værdi
Rækkehus RRækkehus Skolegade 7A  6622 Bække,8.000.000 kr.,09-11-2022Alm. Salg,96 m² 83.333 kr/m²,3,2022,,Aktuel værdi
Rækkehus RRækkehus Høgevej 15  6600 Vejen,303.995 kr.,09-11-2022Alm. Salg,84 m² 3.619 kr/m²,4,1977,,Aktuel værdi
Villa VVilla Gyvelvej 65  6621 Gesten,825.000 kr.,08-11-2022Andet,142 m² 5.810 kr/m²,4,1979,,Aktuel værdi
Villa VVilla Jelshøjvej 6  6600 Vejen,300.000 kr.,07-11-2022Alm. Salg,198 m² 1.515 kr/m²,8,1905,,Aktuel værdi
Villa VVilla Mølletoften 7  6630 Rødding,1.560.000 kr.,06-11-2022Alm. Salg,296 m² 5.270 kr/m²,7,1880,,Aktuel værdi
Villa VVilla Vestergade 37  6650 Brørup,500.000 kr.,04-11-2022Fam. Salg,89 m² 5.618 kr/m²,3,1965,,Aktuel værdi
Villa VVilla Grønnegade 7  6600 Vejen,1.750.000 kr.,03-11-2022Alm. Salg,160 m² 10.938 kr/m²,5,1912,-3%,Aktuel værdi
