Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Bisgård Mark 24  8305 Samsø,544.000 kr.,19-12-2022Fam. Salg,113 m² 4.814 kr/m²,4,1922,,Aktuel værdi
Rækkehus RRækkehus Langgade 18. tv  8305 Samsø,2.300.000 kr.,18-12-2022Andet,41 m² 56.098 kr/m²,1,1920,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Langgade 18, 1  8305 Samsø",2.300.000 kr.,18-12-2022Andet,70 m² 32.857 kr/m²,3,1877,,Aktuel værdi
Villa VVilla Kolby Hovedgade 22  8305 Samsø,110.000 kr.,15-12-2022Alm. Salg,106 m² 1.038 kr/m²,5,1877,,Aktuel værdi
Villa VVilla Marsk Stigs Vej 11  8305 Samsø,1.000.000 kr.,14-12-2022Alm. Salg,109 m² 9.174 kr/m²,5,1924,-9%,Aktuel værdi
Villa VVilla Besser Smedegade 3  8305 Samsø,280.000 kr.,13-12-2022Andet,127 m² 2.205 kr/m²,5,1870,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Tingvej 13, 1  8305 Samsø",2.500.000 kr.,08-12-2022Alm. Salg,96 m² 26.042 kr/m²,4,1938,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Tingvej 13, st  8305 Samsø",2.500.000 kr.,08-12-2022Alm. Salg,144 m² 17.361 kr/m²,4,1938,,Aktuel værdi
Villa VVilla Smedegade 8  8305 Samsø,1.275.000 kr.,08-12-2022Alm. Salg,110 m² 11.591 kr/m²,4,1935,,Aktuel værdi
Villa VVilla Kærbakken 6  8305 Samsø,1.317.500 kr.,30-11-2022Fam. Salg,137 m² 9.617 kr/m²,5,2003,,Aktuel værdi
Villa VVilla Furden 8  8305 Samsø,975.000 kr.,28-11-2022Alm. Salg,152 m² 6.414 kr/m²,4,1947,-18%,Aktuel værdi
Villa VVilla Besservej 5  8305 Samsø,600.000 kr.,21-11-2022Andet,289 m² 2.076 kr/m²,8,1930,,Aktuel værdi
Villa VVilla Skolevænget 2  8305 Samsø,1.585.000 kr.,20-11-2022Alm. Salg,160 m² 9.906 kr/m²,6,1973,,Aktuel værdi
Villa VVilla Østerbyvej 30  8305 Samsø,2.250.000 kr.,17-11-2022Alm. Salg,220 m² 10.227 kr/m²,8,1930,-13%,Aktuel værdi
Villa VVilla Vinkelvej 5  8305 Samsø,1.560.000 kr.,05-11-2022Alm. Salg,150 m² 10.400 kr/m²,6,1954,,Aktuel værdi
Villa VVilla Maarup Hovedgade 22  8305 Samsø,100.000 kr.,01-11-2022Alm. Salg,143 m² 699 kr/m²,7,1766,-82%,Aktuel værdi
Villa VVilla Svømpen 6  8305 Samsø,1.275.000 kr.,31-10-2022Fam. Salg,143 m² 8.916 kr/m²,4,1852,,Aktuel værdi
Villa VVilla Jakob M. Hansens Vej 5  8305 Samsø,500.000 kr.,31-10-2022Fam. Salg,125 m² 4.000 kr/m²,4,2009,,Aktuel værdi
Rækkehus RRækkehus Vrangstrup 5  8305 Samsø,525.000 kr.,30-10-2022Alm. Salg,113 m² 4.646 kr/m²,3,1777,-12%,Aktuel værdi
Villa VVilla Kærbakken 17  8305 Samsø,503.000 kr.,24-10-2022Alm. Salg,85 m² 5.918 kr/m²,4,1925,,Aktuel værdi
Rækkehus RRækkehus Langgade 18. tv  8305 Samsø,2.300.000 kr.,20-10-2022Andet,41 m² 56.098 kr/m²,1,1920,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Langgade 18, 1  8305 Samsø",2.300.000 kr.,20-10-2022Andet,70 m² 32.857 kr/m²,3,1877,,Aktuel værdi
Villa VVilla Hellemosevej 2  8305 Samsø,2.500.000 kr.,12-10-2022Alm. Salg,152 m² 16.447 kr/m²,6,1919,-17%,Aktuel værdi
Villa VVilla Østerløkkevej 51  8305 Samsø,2.025.000 kr.,11-10-2022Alm. Salg,170 m² 11.912 kr/m²,6,1880,-6%,Aktuel værdi
Villa VVilla Høneballevej 15  8305 Samsø,1.975.000 kr.,06-10-2022Alm. Salg,157 m² 12.580 kr/m²,6,1870,-4%,Aktuel værdi
Villa VVilla Strandvejen 8  8305 Samsø,625.000 kr.,27-09-2022Alm. Salg,78 m² 8.013 kr/m²,3,1927,,Aktuel værdi
Villa VVilla Brundby Hovedgade 45  8305 Samsø,1.595.000 kr.,26-09-2022Alm. Salg,134 m² 11.903 kr/m²,4,1884,,Aktuel værdi
Villa VVilla Permelille 17  8305 Samsø,2.950.000 kr.,22-09-2022Alm. Salg,183 m² 16.120 kr/m²,6,1933,-13%,Aktuel værdi
Villa VVilla Storegade 44  8305 Samsø,1.200.000 kr.,21-09-2022Alm. Salg,220 m² 5.455 kr/m²,8,1927,-7%,Aktuel værdi
Villa VVilla Torup 5  8305 Samsø,1.095.000 kr.,19-09-2022Alm. Salg,161 m² 6.801 kr/m²,6,1956,,Aktuel værdi
Villa VVilla Kaasen 51A  8305 Samsø,2.075.000 kr.,12-09-2022Alm. Salg,120 m² 17.292 kr/m²,3,1979,-8%,Aktuel værdi
Villa VVilla Ørby Hovedgade 17  8305 Samsø,1.215.000 kr.,08-09-2022Alm. Salg,114 m² 10.658 kr/m²,4,1880,,Aktuel værdi
Villa VVilla Nordby Hovedgade 12  8305 Samsø,595.000 kr.,07-09-2022Fam. Salg,86 m² 3.864 kr/m²,10,1947,,Aktuel værdi
Villa VVilla Østerbyvej 9  8305 Samsø,1.975.000 kr.,31-08-2022Alm. Salg,178 m² 11.096 kr/m²,6,1900,,Aktuel værdi
Villa VVilla Kolby Hovedgade 40  8305 Samsø,1.050.000 kr.,25-08-2022Alm. Salg,168 m² 6.250 kr/m²,5,1900,-4%,Aktuel værdi
Villa VVilla Ørby Hovedgade 38  8305 Samsø,209.800 kr.,15-08-2022Auktion,70 m² 2.997 kr/m²,3,1874,,Aktuel værdi
"Rækkehus RRækkehus Torup 9, st. tv  8305 Samsø",1.375.000 kr.,14-08-2022Alm. Salg,106 m² 12.972 kr/m²,3,1804,-7%,Aktuel værdi
"Rækkehus RRækkehus Torup 9, st. th  8305 Samsø",1.375.000 kr.,14-08-2022Alm. Salg,51 m² 26.961 kr/m²,2,1804,-7%,Aktuel værdi
Villa VVilla Vestre Ringvej 22  8305 Samsø,1.625.000 kr.,14-08-2022Alm. Salg,188 m² 8.644 kr/m²,7,1877,,Aktuel værdi
