Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
"Ejerlejlighed EEjerlejlighed Frederiksdalsvej 12C, st. tv  2830 Virum",1.700.000 kr.,29-12-2022Alm. Salg,57 m² 29.825 kr/m²,2,1939,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Mortonsvej 40, 2. tv  2800 Kongens Lyngby",6.150.000 kr.,28-12-2022Alm. Salg,95 m² 64.737 kr/m²,4,2009,-5%,Aktuel værdi
Rækkehus RRækkehus Rosengårdsvej 2  2830 Virum,5.750.000 kr.,26-12-2022Alm. Salg,132 m² 43.561 kr/m²,5,1947,-8%,Aktuel værdi
Villa VVilla Danmarksvej 35  2800 Kongens Lyngby,1.300.000 kr.,26-12-2022Alm. Salg,176 m² 7.386 kr/m²,4,1930,,Aktuel værdi
Ejerlejlighed EEjerlejlighed Lottenborgvej 19A  2800 Kongens Lyngby,2.473.500 kr.,24-12-2022Fam. Salg,71 m² 34.838 kr/m²,2,1890,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lottenborgvej 19, 1  2800 Kongens Lyngby",2.473.500 kr.,24-12-2022Fam. Salg,80 m² 30.919 kr/m²,3,1890,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Lottenborgvej 19, st  2800 Kongens Lyngby",2.473.500 kr.,24-12-2022Fam. Salg,105 m² 23.557 kr/m²,4,1890,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Eremitageparken 375, 2. d  2800 Kongens Lyngby",547.450 kr.,22-12-2022Fam. Salg,41 m² 13.352 kr/m²,1,1972,,Aktuel værdi
Rækkehus RRækkehus Bygdevej 10  2830 Virum,5.900.000 kr.,21-12-2022Alm. Salg,127 m² 46.457 kr/m²,6,1950,-2%,Aktuel værdi
"Rækkehus RRækkehus Kulsviervej 76, st. tv  2800 Kongens Lyngby",3.050.000 kr.,21-12-2022Andet,109 m² 21.631 kr/m²,5,1959,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Bredebovej 35, 1. tv  2800 Kongens Lyngby",2.900.000 kr.,21-12-2022Alm. Salg,81 m² 35.802 kr/m²,3,1969,-3%,Aktuel værdi
