Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Paradisvænget 8  3400 Hillerød,961.250 kr.,30-12-2022Andet,93 m² 10.336 kr/m²,5,1962,,Aktuel værdi
Rækkehus RRækkehus Sættedammen 11  3400 Hillerød,4.700.000 kr.,27-12-2022Alm. Salg,176 m² 26.705 kr/m²,6,1972,-12%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Sportsvej 53, st  3480 Fredensborg",2.600.000 kr.,27-12-2022Alm. Salg,185 m² 14.054 kr/m²,6,1900,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Almevej 5, st  3400 Hillerød",2.980.520 kr.,26-12-2022Alm. Salg,98 m² 30.413 kr/m²,3,1934,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Almevej 5, 1  3400 Hillerød",2.980.520 kr.,26-12-2022Alm. Salg,91 m² 32.753 kr/m²,3,1934,,Aktuel værdi
Villa VVilla Jakob Knudsensvej 22  3400 Hillerød,1.050.000 kr.,26-12-2022Fam. Salg,140 m² 7.500 kr/m²,5,1973,,Aktuel værdi
Villa VVilla Gammel Engvej 6A  3330 Gørløse,3.750.000 kr.,25-12-2022Alm. Salg,157 m² 23.885 kr/m²,6,1938,-2%,Aktuel værdi
Villa VVilla Dønnegårdsvej 14  3400 Hillerød,3.065.000 kr.,24-12-2022Alm. Salg,144 m² 21.285 kr/m²,5,1967,-3%,Aktuel værdi
Rækkehus RRækkehus Bombakken 18  3320 Skævinge,2.700.000 kr.,23-12-2022Alm. Salg,110 m² 24.545 kr/m²,4,2007,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Gl. Holmegårdsvej 49, 1. th  3400 Hillerød",1.980.000 kr.,23-12-2022Alm. Salg,82 m² 24.146 kr/m²,3,1970,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Slangerupgade 12B, 1. th  3400 Hillerød",1.695.000 kr.,21-12-2022Alm. Salg,59 m² 28.729 kr/m²,2,1927,,Aktuel værdi
Villa VVilla Holmegårdsparken 8  3320 Skævinge,1.750.000 kr.,21-12-2022Alm. Salg,140 m² 12.500 kr/m²,5,1973,-20%,Aktuel værdi
Villa VVilla Bremertoften 12  3320 Skævinge,1.745.000 kr.,21-12-2022Alm. Salg,163 m² 10.706 kr/m²,6,2005,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hostrupsvej 25, 5. tv  3400 Hillerød",1.600.000 kr.,20-12-2022Alm. Salg,55 m² 29.091 kr/m²,2,1936,-6%,Aktuel værdi
Villa VVilla Københavnsvej 51A  3400 Hillerød,2.800.000 kr.,20-12-2022Alm. Salg,164 m² 17.073 kr/m²,5,1968,-7%,Aktuel værdi
Rækkehus RRækkehus Baunetoften 21  3320 Skævinge,2.260.000 kr.,19-12-2022Alm. Salg,110 m² 20.545 kr/m²,4,1990,-5%,Aktuel værdi
Ejerlejlighed EEjerlejlighed Langesvej 11A  3400 Hillerød,2.995.500 kr.,19-12-2022Alm. Salg,125 m² 23.964 kr/m²,4,1900,,Aktuel værdi
Villa VVilla Folemestervej 14  3400 Hillerød,3.950.000 kr.,18-12-2022Alm. Salg,105 m² 37.619 kr/m²,4,1967,-6%,Aktuel værdi
Villa VVilla Helsingørsgade 35A  3400 Hillerød,6.000.000 kr.,18-12-2022Alm. Salg,136 m² 44.118 kr/m²,3,1983,,Aktuel værdi
Rækkehus RRækkehus Slettebjerget 32  3400 Hillerød,1.550.000 kr.,15-12-2022Alm. Salg,113 m² 13.717 kr/m²,4,1977,,Aktuel værdi
"Villa VVilla Jespervej 250, st  3400 Hillerød",2.200.000 kr.,15-12-2022Alm. Salg,108 m² 20.370 kr/m²,4,1940,-12%,Aktuel værdi
Rækkehus RRækkehus Uvelse Park 13  3550 Slangerup,2.650.000 kr.,14-12-2022Alm. Salg,112 m² 23.661 kr/m²,4,2005,-5%,Aktuel værdi
Villa VVilla Selskovvej 21  3400 Hillerød,3.800.000 kr.,14-12-2022Alm. Salg,148 m² 25.676 kr/m²,3,1961,-12%,Aktuel værdi
Villa VVilla Gl. Skolevej 9  3400 Hillerød,2.300.000 kr.,14-12-2022Fam. Salg,150 m² 15.333 kr/m²,5,1965,,Aktuel værdi
Rækkehus RRækkehus Sophienlund 69  3400 Hillerød,3.200.000 kr.,13-12-2022Alm. Salg,98 m² 32.653 kr/m²,4,2005,-2%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Fredskovhellet 2H, 2. 54  3400 Hillerød",1.275.000 kr.,13-12-2022Alm. Salg,74 m² 17.230 kr/m²,2,1972,-9%,Aktuel værdi
Villa VVilla Ådalen 13  3400 Hillerød,5.100.000 kr.,13-12-2022Alm. Salg,192 m² 26.563 kr/m²,6,1961,-2%,Aktuel værdi
Villa VVilla Selskovvej 58  3400 Hillerød,4.900.000 kr.,13-12-2022Alm. Salg,145 m² 33.793 kr/m²,4,1976,-7%,Aktuel værdi
Villa VVilla Brydetoften 4  3320 Skævinge,1.995.000 kr.,13-12-2022Alm. Salg,135 m² 14.778 kr/m²,4,1968,,Aktuel værdi
Rækkehus RRækkehus Føllegårds Allé 13  3320 Skævinge,2.200.000 kr.,12-12-2022Alm. Salg,86 m² 25.581 kr/m²,4,2004,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Fredskovhellet 2H, st. 40  3400 Hillerød",1.550.000 kr.,11-12-2022Alm. Salg,71 m² 21.831 kr/m²,2,1972,,Aktuel værdi
Rækkehus RRækkehus Favrholmvænget 18  3400 Hillerød,2.895.000 kr.,08-12-2022Alm. Salg,122 m² 23.730 kr/m²,4,1975,,Aktuel værdi
Rækkehus RRækkehus Amorbuen 67  3400 Hillerød,4.250.000 kr.,07-12-2022Alm. Salg,133 m² 31.955 kr/m²,4,2023,,Aktuel værdi
Ejerlejlighed EEjerlejlighed Nordre Jernbanevej 17B  3400 Hillerød,2.300.000 kr.,07-12-2022Alm. Salg,64 m² 35.938 kr/m²,2,1912,-8%,Aktuel værdi
Villa VVilla Bygmarken 1  3320 Skævinge,2.750.000 kr.,07-12-2022Alm. Salg,135 m² 20.370 kr/m²,5,2006,-5%,Aktuel værdi
Villa VVilla P. Mogensensvej 6  3400 Hillerød,5.500.000 kr.,04-12-2022Andet,152 m² 36.184 kr/m²,7,1875,,Aktuel værdi
Villa VVilla Digemestervej 4  3400 Hillerød,3.950.000 kr.,03-12-2022Alm. Salg,154 m² 25.649 kr/m²,6,1968,-1%,Aktuel værdi
Villa VVilla Lillevej 3  3330 Gørløse,1.550.000 kr.,02-12-2022Alm. Salg,94 m² 16.489 kr/m²,4,1960,-9%,Aktuel værdi
Rækkehus RRækkehus Slettebjerget 27  3400 Hillerød,1.497.500 kr.,01-12-2022Alm. Salg,113 m² 13.252 kr/m²,4,1977,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Helsingørsgade 41A, 1  3400 Hillerød",50.000 kr.,01-12-2022Alm. Salg,176 m² 284 kr/m²,6,1890,,Aktuel værdi
Villa VVilla Hans Andersensvej 12  3550 Slangerup,1.362.500 kr.,01-12-2022Andet,145 m² 9.397 kr/m²,5,1973,,Aktuel værdi
Rækkehus RRækkehus Ved Skansebakken 19  3400 Hillerød,1.750.000 kr.,30-11-2022Alm. Salg,51 m² 34.314 kr/m²,2,1972,-5%,Aktuel værdi
Villa VVilla Toftevænget 11  3320 Skævinge,2.100.000 kr.,29-11-2022Alm. Salg,96 m² 21.875 kr/m²,4,1960,-8%,Aktuel værdi
Villa VVilla Havekrogen 3  3400 Hillerød,3.100.000 kr.,29-11-2022Alm. Salg,130 m² 23.846 kr/m²,5,1959,-22%,Aktuel værdi
Villa VVilla Stutmestervej 13  3400 Hillerød,6.725.000 kr.,29-11-2022Alm. Salg,176 m² 38.210 kr/m²,5,1974,-3%,Aktuel værdi
Villa VVilla Tjærebyvej 4  3400 Hillerød,1.900.000 kr.,29-11-2022Alm. Salg,160 m² 11.875 kr/m²,4,1962,-21%,Aktuel værdi
Villa VVilla Dyremosen 25  3320 Skævinge,5.535.000 kr.,29-11-2022Alm. Salg,170 m² 32.559 kr/m²,4,2023,-4%,Aktuel værdi
Rækkehus RRækkehus Granbakken 15  3400 Hillerød,3.325.000 kr.,28-11-2022Alm. Salg,108 m² 30.787 kr/m²,4,1962,-5%,Aktuel værdi
