Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Skovstykket 10  8500 Grenaa,2.350.000 kr.,30-12-2022Alm. Salg,152 m² 15.461 kr/m²,4,1964,-6%,Aktuel værdi
Ejerlejlighed EEjerlejlighed Fuglevænget 76E  8500 Grenaa,340.000 kr.,28-12-2022Alm. Salg,53 m² 6.415 kr/m²,2,1967,-9%,Aktuel værdi
Villa VVilla Århusvej 104  8500 Grenaa,375.026 kr.,28-12-2022Fam. Salg,97 m² 3.866 kr/m²,3,1952,,Aktuel værdi
Villa VVilla Kirkegade 5  8963 Auning,550.000 kr.,27-12-2022Alm. Salg,188 m² 2.926 kr/m²,6,1885,,Aktuel værdi
Villa VVilla Reimersvej 104  8963 Auning,1.895.000 kr.,26-12-2022Alm. Salg,118 m² 16.059 kr/m²,4,1975,,Aktuel værdi
Rækkehus RRækkehus Ålunden 55  8500 Grenaa,1.075.000 kr.,22-12-2022Alm. Salg,100 m² 10.750 kr/m²,3,1988,-10%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Fuglevænget 17, 2. th  8500 Grenaa",2.775.000 kr.,21-12-2022Alm. Salg,76 m² 36.513 kr/m²,3,1968,,Aktuel værdi
Villa VVilla Lillegade 14  8950 Ørsted,320.000 kr.,21-12-2022Alm. Salg,126 m² 2.540 kr/m²,5,1927,-19%,Aktuel værdi
Villa VVilla Kirke Allé 5  8500 Grenaa,485.625 kr.,21-12-2022Alm. Salg,161 m² 3.016 kr/m²,4,1850,,Aktuel værdi
Villa VVilla Møgelbjerg 73  8500 Grenaa,3.125.000 kr.,21-12-2022Alm. Salg,212 m² 14.741 kr/m²,6,2019,1%,Aktuel værdi
Rækkehus RRækkehus Svanegårdsvej 4  8586 Ørum Djurs,540.000 kr.,19-12-2022Andet,83 m² 6.506 kr/m²,4,1988,,Aktuel værdi
Villa VVilla Elkjærslundvej 6  8961 Allingåbro,2.500.000 kr.,19-12-2022Alm. Salg,152 m² 16.447 kr/m²,3,1931,,Aktuel værdi
Villa VVilla Æblerosevej 47  8500 Grenaa,1.400.000 kr.,19-12-2022Alm. Salg,120 m² 11.667 kr/m²,5,1987,-7%,Aktuel værdi
Villa VVilla Ndr Fælledvej 9  8963 Auning,850.000 kr.,19-12-2022Fam. Salg,122 m² 6.967 kr/m²,5,1959,,Aktuel værdi
Rækkehus RRækkehus Grønland 29  8500 Grenaa,852.000 kr.,18-12-2022Alm. Salg,92 m² 9.261 kr/m²,4,1900,-5%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Storegade 3, 2  8500 Grenaa",4.050.000 kr.,18-12-2022Alm. Salg,108 m² 37.500 kr/m²,2,1830,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Storegade 3, 1  8500 Grenaa",4.050.000 kr.,18-12-2022Alm. Salg,103 m² 39.320 kr/m²,3,1830,,Aktuel værdi
Villa VVilla Kløvhøjvej 20  8500 Grenaa,350.000 kr.,18-12-2022Alm. Salg,123 m² 2.846 kr/m²,5,1875,,Aktuel værdi
Villa VVilla Lystrupvej 32  8961 Allingåbro,330.000 kr.,18-12-2022Alm. Salg,129 m² 2.558 kr/m²,3,1906,-14%,Aktuel værdi
Villa VVilla Nordstrandvej 1  8592 Anholt,1.100.000 kr.,16-12-2022Alm. Salg,141 m² 7.801 kr/m²,6,1960,,Aktuel værdi
Villa VVilla Mølletoften 31  8570 Trustrup,525.000 kr.,16-12-2022Alm. Salg,105 m² 5.000 kr/m²,4,1974,-9%,Aktuel værdi
Villa VVilla Svalevej 26  8500 Grenaa,1.005.000 kr.,16-12-2022Alm. Salg,140 m² 7.179 kr/m²,4,1964,-8%,Aktuel værdi
Villa VVilla Præstevej 1  8585 Glesborg,55.000.000 kr.,15-12-2022Andet,95 m² 578.947 kr/m²,4,1875,,Aktuel værdi
