Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Lille Risevej 2  5970 Ærøskøbing,875.000 kr.,28-12-2022Alm. Salg,175 m² 5.000 kr/m²,6,1911,-2%,Aktuel værdi
Villa VVilla Snaregade 10  5960 Marstal,399.500 kr.,21-12-2022Fam. Salg,71 m² 5.627 kr/m²,4,1800,,Aktuel værdi
Villa VVilla Vester Bregninge 14  5970 Ærøskøbing,275.000 kr.,21-12-2022Alm. Salg,150 m² 1.833 kr/m²,4,1827,,Aktuel værdi
Villa VVilla Mølledamsvej 1  5970 Ærøskøbing,1.500.000 kr.,21-12-2022Alm. Salg,275 m² 5.455 kr/m²,9,1871,,Aktuel værdi
Villa VVilla Kongensgade 18  5960 Marstal,2.000.000 kr.,20-12-2022Alm. Salg,195 m² 10.256 kr/m²,4,1898,,Aktuel værdi
Villa VVilla Skovgyden 2  5960 Marstal,950.000 kr.,20-12-2022Alm. Salg,74 m² 12.838 kr/m²,3,1893,,Aktuel værdi
Villa VVilla Hovedgaden 5  5960 Marstal,600.000 kr.,18-12-2022Alm. Salg,74 m² 8.108 kr/m²,3,1931,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kirkestræde 27, 1  5960 Marstal",425.000 kr.,13-12-2022Alm. Salg,84 m² 5.060 kr/m²,2,1780,,Aktuel værdi
Villa VVilla Voderup 1  5970 Ærøskøbing,1.200.000 kr.,08-12-2022Fam. Salg,160 m² 7.500 kr/m²,5,1910,,Aktuel værdi
Villa VVilla Vesterskovsvej 20  5960 Marstal,4.500.000 kr.,05-12-2022Alm. Salg,248 m² 18.145 kr/m²,5,1930,,Aktuel værdi
Villa VVilla Kærvej 5  5985 Søby Ærø,192.500 kr.,05-12-2022Fam. Salg,110 m² 1.750 kr/m²,4,1880,,Aktuel værdi
Villa VVilla Østerbro 44  5985 Søby Ærø,1.150.000 kr.,30-11-2022Alm. Salg,172 m² 6.686 kr/m²,5,1965,,Aktuel værdi
Villa VVilla Pilebækken 13  5970 Ærøskøbing,2.250.000 kr.,29-11-2022Alm. Salg,194 m² 11.598 kr/m²,4,1880,-4%,Aktuel værdi
Villa VVilla Voderup 6  5970 Ærøskøbing,1.650.000 kr.,27-11-2022Alm. Salg,140 m² 11.786 kr/m²,6,1825,-34%,Aktuel værdi
Villa VVilla Øster Bregninge 52  5970 Ærøskøbing,250.000 kr.,23-11-2022Alm. Salg,68 m² 3.676 kr/m²,3,1853,,Aktuel værdi
Villa VVilla Østerbro 46  5985 Søby Ærø,1.575.000 kr.,17-11-2022Alm. Salg,172 m² 9.157 kr/m²,5,1936,,Aktuel værdi
Villa VVilla Tværby 12  5970 Ærøskøbing,850.000 kr.,16-11-2022Alm. Salg,96 m² 8.854 kr/m²,4,1964,,Aktuel værdi
Villa VVilla Søkildevej 7  5970 Ærøskøbing,1.400.000 kr.,15-11-2022Alm. Salg,147 m² 9.524 kr/m²,4,1974,,Aktuel værdi
Villa VVilla Langebro 15  5985 Søby Ærø,475.000 kr.,15-11-2022Alm. Salg,123 m² 3.862 kr/m²,4,1970,,Aktuel værdi
Villa VVilla Søndergade 35  5970 Ærøskøbing,1.500.000 kr.,15-11-2022Fam. Salg,108 m² 13.889 kr/m²,3,1868,,Aktuel værdi
Villa VVilla Strandvejen 33  5960 Marstal,1.232.500 kr.,14-11-2022Fam. Salg,167 m² 7.380 kr/m²,5,1986,,Aktuel værdi
Villa VVilla Vester Bregninge 6A  5970 Ærøskøbing,400.000 kr.,13-11-2022Alm. Salg,105 m² 3.810 kr/m²,3,1980,,Aktuel værdi
Villa VVilla Vesterskovsvej 6  5960 Marstal,330.000 kr.,09-11-2022Alm. Salg,91 m² 3.626 kr/m²,3,1820,,Aktuel værdi
Villa VVilla Østerbro 18  5985 Søby Ærø,120.000 kr.,08-11-2022Alm. Salg,127 m² 945 kr/m²,6,1908,20%,Aktuel værdi
Villa VVilla Øster Bregninge 42  5970 Ærøskøbing,125.000 kr.,07-11-2022Alm. Salg,102 m² 1.225 kr/m²,5,1920,,Aktuel værdi
Villa VVilla Smedegade 31  5970 Ærøskøbing,1.950.000 kr.,01-11-2022Alm. Salg,73 m² 26.712 kr/m²,3,1863,-2%,Aktuel værdi
Villa VVilla Voderup 33  5970 Ærøskøbing,2.500.000 kr.,31-10-2022Alm. Salg,197 m² 12.690 kr/m²,6,1904,,Aktuel værdi
Villa VVilla Willemoesgade 1  5960 Marstal,976.000 kr.,31-10-2022Alm. Salg,141 m² 6.922 kr/m²,7,1890,30%,Aktuel værdi
Villa VVilla Niels Juelsgade 2A  5960 Marstal,850.000 kr.,13-10-2022Alm. Salg,102 m² 8.333 kr/m²,3,1968,-13%,Aktuel værdi
Rækkehus RRækkehus Niels Juelsgade 13  5960 Marstal,795.000 kr.,12-10-2022Alm. Salg,104 m² 7.644 kr/m²,3,1916,,Aktuel værdi
Villa VVilla Øster Bregninge 43  5970 Ærøskøbing,650.000 kr.,11-10-2022Alm. Salg,132 m² 4.924 kr/m²,4,1954,,Aktuel værdi
Villa VVilla Alleen 22  5985 Søby Ærø,400.000 kr.,11-10-2022Alm. Salg,62 m² 6.452 kr/m²,5,1926,,Aktuel værdi
Villa VVilla Skelhave 1A  5985 Søby Ærø,1.500.000 kr.,10-10-2022Alm. Salg,103 m² 14.563 kr/m²,4,1800,,Aktuel værdi
Villa VVilla Nørrebro 12  5985 Søby Ærø,210.000 kr.,08-10-2022Alm. Salg,131 m² 1.603 kr/m²,5,1900,-16%,Aktuel værdi
Villa VVilla Stokkeby Landevej 5  5970 Ærøskøbing,325.000 kr.,04-10-2022Alm. Salg,100 m² 3.250 kr/m²,4,1870,-18%,Aktuel værdi
Villa VVilla Birkholm 17  5965 Birkholm,725.000 kr.,03-10-2022Alm. Salg,157 m² 4.618 kr/m²,6,1937,-9%,Aktuel værdi
Villa VVilla Stokkeby Hovedgade 2  5970 Ærøskøbing,625.000 kr.,02-10-2022Alm. Salg,118 m² 5.297 kr/m²,3,1890,,Aktuel værdi
Villa VVilla Søtoften 6  5970 Ærøskøbing,1.020.000 kr.,02-10-2022Alm. Salg,107 m² 9.533 kr/m²,3,1971,,Aktuel værdi
Villa VVilla Skovbygade 3  5985 Søby Ærø,400.000 kr.,29-09-2022Alm. Salg,79 m² 5.063 kr/m²,2,1752,,Aktuel værdi
Rækkehus RRækkehus Møllergade 18  5960 Marstal,1.400.000 kr.,19-09-2022Fam. Salg,114 m² 12.281 kr/m²,3,1880,,Aktuel værdi
Villa VVilla Rolighedsvej 22  5960 Marstal,1.200.000 kr.,19-09-2022Alm. Salg,115 m² 10.435 kr/m²,6,1954,-7%,Aktuel værdi
Villa VVilla Ronæsvej 2  5960 Marstal,1.075.000 kr.,19-09-2022Alm. Salg,167 m² 6.437 kr/m²,3,1900,-10%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Langebro 2, st. th  5985 Søby Ærø",725.000 kr.,18-09-2022Alm. Salg,95 m² 7.632 kr/m²,3,1904,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Langebro 2, st. tv  5985 Søby Ærø",725.000 kr.,18-09-2022Alm. Salg,62 m² 11.694 kr/m²,2,1904,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Langebro 2, 1  5985 Søby Ærø",725.000 kr.,18-09-2022Alm. Salg,95 m² 7.632 kr/m²,4,1904,,Aktuel værdi
Villa VVilla Søbakkevej 4  5985 Søby Ærø,725.000 kr.,18-09-2022Alm. Salg,83 m² 8.735 kr/m²,3,1904,,Aktuel værdi
Villa VVilla Kappelhøj 3  5985 Søby Ærø,995.000 kr.,17-09-2022Alm. Salg,104 m² 9.567 kr/m²,5,1983,,Aktuel værdi
Villa VVilla Harevej 5  5985 Søby Ærø,542.500 kr.,15-09-2022Fam. Salg,200 m² 2.713 kr/m²,6,1825,,Aktuel værdi
Villa VVilla Nørrevejen 3  5985 Søby Ærø,630.000 kr.,14-09-2022Alm. Salg,83 m² 7.590 kr/m²,3,1900,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vesterbro 7, 1  5970 Ærøskøbing",2.395.000 kr.,13-09-2022Andet,69 m² 34.710 kr/m²,2,1882,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vesterbro 7, st  5970 Ærøskøbing",2.395.000 kr.,13-09-2022Andet,111 m² 21.577 kr/m²,2,1882,,Aktuel værdi
Villa VVilla Ny Møllergade 13  5960 Marstal,1.150.000 kr.,13-09-2022Alm. Salg,110 m² 10.455 kr/m²,4,1853,,Aktuel værdi
Villa VVilla Vestballevej 4  5970 Ærøskøbing,185.000 kr.,11-09-2022Alm. Salg,92 m² 2.011 kr/m²,4,1830,,Aktuel værdi
Villa VVilla Nørrebro 9  5985 Søby Ærø,550.000 kr.,08-09-2022Alm. Salg,68 m² 8.088 kr/m²,3,1870,,Aktuel værdi
Villa VVilla Stærmose 4  5985 Søby Ærø,1.800.000 kr.,07-09-2022Fam. Salg,215 m² 8.372 kr/m²,4,1906,,Aktuel værdi
Rækkehus RRækkehus Brøndstræde 19  5960 Marstal,533.000 kr.,06-09-2022Alm. Salg,114 m² 4.675 kr/m²,2,1900,7%,Aktuel værdi
Villa VVilla Vindeballegade 41  5970 Ærøskøbing,850.000 kr.,06-09-2022Alm. Salg,134 m² 6.343 kr/m²,5,1900,-3%,Aktuel værdi
Villa VVilla Trousløkkevej 1  5960 Marstal,845.000 kr.,31-08-2022Alm. Salg,117 m² 7.222 kr/m²,5,1875,,Aktuel værdi
Villa VVilla Nørrebro 10  5985 Søby Ærø,950.000 kr.,30-08-2022Alm. Salg,116 m² 8.190 kr/m²,5,1860,,Aktuel værdi
Villa VVilla Søndergade 52  5970 Ærøskøbing,2.100.000 kr.,30-08-2022Alm. Salg,190 m² 11.053 kr/m²,5,1867,,Aktuel værdi
Villa VVilla Søkildevej 6  5970 Ærøskøbing,1.100.000 kr.,27-08-2022Alm. Salg,100 m² 11.000 kr/m²,4,1964,,Aktuel værdi
Villa VVilla Havnegade 26  5960 Marstal,2.195.000 kr.,24-08-2022Alm. Salg,145 m² 15.138 kr/m²,5,1865,,Aktuel værdi
Villa VVilla Skovbygade 2  5985 Søby Ærø,1.500.000 kr.,24-08-2022Alm. Salg,250 m² 6.000 kr/m²,6,1777,-6%,Aktuel værdi
Villa VVilla Øster Bregninge 44  5970 Ærøskøbing,335.000 kr.,22-08-2022Alm. Salg,147 m² 2.279 kr/m²,9,1920,,Aktuel værdi
Villa VVilla Krovejen 7A  5960 Marstal,1.195.000 kr.,21-08-2022Alm. Salg,175 m² 6.829 kr/m²,4,1972,-8%,Aktuel værdi
Villa VVilla Tjørnevej 2  5960 Marstal,550.000 kr.,19-08-2022Alm. Salg,67 m² 8.209 kr/m²,2,1850,-8%,Aktuel værdi
