Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Lundagervej 3  7000 Fredericia,1.600.000 kr.,26-12-2022Alm. Salg,169 m² 9.467 kr/m²,5,1972,-6%,Aktuel værdi
Villa VVilla Ravnsgårdsvej 35  7000 Fredericia,2.195.000 kr.,24-12-2022Alm. Salg,136 m² 16.140 kr/m²,5,1989,-8%,Aktuel værdi
Villa VVilla Krügersvej 23  7000 Fredericia,2.230.000 kr.,22-12-2022Alm. Salg,162 m² 13.765 kr/m²,4,1971,-7%,Aktuel værdi
Villa VVilla Follerup Møllevej 47  7000 Fredericia,1.450.000 kr.,22-12-2022Fam. Salg,193 m² 7.513 kr/m²,7,1860,,Aktuel værdi
Rækkehus RRækkehus Sonnesvej 90  7000 Fredericia,1.160.000 kr.,21-12-2022Alm. Salg,77 m² 15.065 kr/m²,3,1968,-10%,Aktuel værdi
Villa VVilla Skyttevej 1B  7000 Fredericia,900.000 kr.,21-12-2022Alm. Salg,91 m² 9.890 kr/m²,4,1954,,Aktuel værdi
Villa VVilla Tåsingevej 12  7000 Fredericia,2.400.000 kr.,21-12-2022Alm. Salg,72 m² 33.333 kr/m²,2,1956,,Aktuel værdi
Villa VVilla Ernst Carlsens Vej 10A  7000 Fredericia,6.500.000 kr.,21-12-2022Alm. Salg,194 m² 33.505 kr/m²,6,1917,-7%,Aktuel værdi
Villa VVilla Krybily Allé 23  7000 Fredericia,1.795.000 kr.,20-12-2022Alm. Salg,181 m² 9.917 kr/m²,6,1978,,Aktuel værdi
Villa VVilla Mosegårdsvej 51  7000 Fredericia,1.660.000 kr.,20-12-2022Alm. Salg,88 m² 18.864 kr/m²,4,1964,-2%,Aktuel værdi
Villa VVilla Birkholmvej 21  7000 Fredericia,2.510.000 kr.,20-12-2022Alm. Salg,238 m² 10.546 kr/m²,8,1974,,Aktuel værdi
Villa VVilla Martine Christoffersens Vej 57A  7000 Fredericia,2.775.000 kr.,20-12-2022Alm. Salg,129 m² 21.512 kr/m²,5,2019,-2%,Aktuel værdi
Villa VVilla Skyttevej 34  7000 Fredericia,994.580 kr.,19-12-2022Andet,179 m² 5.556 kr/m²,3,1967,,Aktuel værdi
Villa VVilla Snebærvænget 5  7000 Fredericia,1.101.000 kr.,19-12-2022Alm. Salg,103 m² 10.689 kr/m²,4,1973,1%,Aktuel værdi
Villa VVilla Sanddal Strandsti 2  7000 Fredericia,7.000.000 kr.,19-12-2022Alm. Salg,220 m² 31.818 kr/m²,7,1960,,Aktuel værdi
Rækkehus RRækkehus Æbeløvænget 8  7000 Fredericia,892.800 kr.,18-12-2022Alm. Salg,76 m² 11.747 kr/m²,2,0,,Aktuel værdi
Rækkehus RRækkehus Æbeløvænget 4  7000 Fredericia,892.800 kr.,18-12-2022Alm. Salg,95 m² 9.398 kr/m²,3,0,,Aktuel værdi
Rækkehus RRækkehus Æbeløvænget 2  7000 Fredericia,892.800 kr.,18-12-2022Alm. Salg,76 m² 11.747 kr/m²,2,0,,Aktuel værdi
Rækkehus RRækkehus Æbeløvænget 6  7000 Fredericia,892.800 kr.,18-12-2022Alm. Salg,95 m² 9.398 kr/m²,3,0,,Aktuel værdi
Villa VVilla Krügersvej 28B  7000 Fredericia,1.050.000 kr.,17-12-2022Alm. Salg,150 m² 7.000 kr/m²,4,1964,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Havepladsvej 174, 1. tv  7000 Fredericia",885.000 kr.,16-12-2022Alm. Salg,83 m² 10.663 kr/m²,3,1966,-1%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kongensstræde 70, st  7000 Fredericia",2.000.000 kr.,15-12-2022Alm. Salg,56 m² 35.714 kr/m²,2,1895,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Sjællandsgade 20, st  7000 Fredericia",2.600.000 kr.,15-12-2022Alm. Salg,72 m² 36.111 kr/m²,3,1903,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kongensstræde 70, 1  7000 Fredericia",2.000.000 kr.,15-12-2022Alm. Salg,56 m² 35.714 kr/m²,2,1895,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Sjællandsgade 20, kl  7000 Fredericia",2.600.000 kr.,15-12-2022Alm. Salg,56 m² 46.429 kr/m²,2,1903,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kongensstræde 70, 2  7000 Fredericia",2.000.000 kr.,15-12-2022Alm. Salg,40 m² 50.000 kr/m²,2,1895,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Sjællandsgade 20, 1  7000 Fredericia",2.600.000 kr.,15-12-2022Alm. Salg,141 m² 18.440 kr/m²,6,1903,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Sjællandsgade 77D, 2. th  7000 Fredericia",665.000 kr.,14-12-2022Alm. Salg,61 m² 10.902 kr/m²,2,1970,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kongensgade 61, 1  7000 Fredericia",2.200.000 kr.,14-12-2022Fam. Salg,85 m² 25.882 kr/m²,2,1887,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kongensgade 61, st. tv  7000 Fredericia",2.200.000 kr.,14-12-2022Fam. Salg,116 m² 18.966 kr/m²,3,1887,,Aktuel værdi
Villa VVilla Grønlandsvej 16  7000 Fredericia,600.000 kr.,13-12-2022Alm. Salg,65 m² 9.231 kr/m²,3,1925,,Aktuel værdi
Villa VVilla Skyttevej 7  7000 Fredericia,1.045.000 kr.,12-12-2022Alm. Salg,87 m² 12.011 kr/m²,5,1950,-5%,Aktuel værdi
Villa VVilla Indre Ringvej 220  7000 Fredericia,2.225.000 kr.,12-12-2022Alm. Salg,143 m² 15.559 kr/m²,5,1986,-3%,Aktuel værdi
Villa VVilla Kaltoftevej 21  7000 Fredericia,2.300.000 kr.,12-12-2022Alm. Salg,156 m² 14.744 kr/m²,5,1972,15%,Aktuel værdi
Villa VVilla Nymarksvej 33  7000 Fredericia,670.000 kr.,11-12-2022Alm. Salg,104 m² 6.442 kr/m²,3,1922,-4%,Aktuel værdi
Villa VVilla Nyvej 8  7000 Fredericia,1.850.000 kr.,11-12-2022Alm. Salg,117 m² 15.812 kr/m²,4,1963,-6%,Aktuel værdi
Villa VVilla Nordre Kobbelvej 25  7000 Fredericia,1.250.000 kr.,11-12-2022Alm. Salg,90 m² 13.889 kr/m²,4,1967,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Jernbanegade 29, 1. th  7000 Fredericia",1.000.000 kr.,08-12-2022Alm. Salg,88 m² 11.364 kr/m²,4,1956,-13%,Aktuel værdi
Villa VVilla Egeskovvej 122  7000 Fredericia,2.850.000 kr.,08-12-2022Alm. Salg,172 m² 16.570 kr/m²,6,1949,-5%,Aktuel værdi
Villa VVilla Fuglsang Allé 91  7000 Fredericia,3.400.000 kr.,06-12-2022Alm. Salg,165 m² 20.606 kr/m²,4,2021,-3%,Aktuel værdi
Villa VVilla Egeskovvej 12  7000 Fredericia,2.040.563 kr.,05-12-2022Fam. Salg,150 m² 13.604 kr/m²,5,1952,,Aktuel værdi
Villa VVilla Herslev Kirkevej 48  7000 Fredericia,550.000 kr.,05-12-2022Alm. Salg,136 m² 4.044 kr/m²,6,1924,-21%,Aktuel værdi
Villa VVilla Puggårdsløkken 8  7000 Fredericia,4.200.000 kr.,05-12-2022Alm. Salg,222 m² 18.919 kr/m²,5,2020,-11%,Aktuel værdi
Rækkehus RRækkehus Hybenvej 9  7000 Fredericia,1.845.000 kr.,04-12-2022Alm. Salg,106 m² 17.406 kr/m²,4,1921,-3%,Aktuel værdi
Villa VVilla Stallerupvej 53  7000 Fredericia,1.600.000 kr.,01-12-2022Alm. Salg,185 m² 8.649 kr/m²,7,2006,,Aktuel værdi
Villa VVilla Grethevej 9  7000 Fredericia,1.325.000 kr.,01-12-2022Alm. Salg,144 m² 9.201 kr/m²,6,1958,-4%,Aktuel værdi
Villa VVilla Strandkrogen 1  7000 Fredericia,2.950.000 kr.,30-11-2022Andet,154 m² 19.156 kr/m²,5,1976,,Aktuel værdi
Villa VVilla Vejle Landevej 105  7000 Fredericia,2.900.000 kr.,30-11-2022Alm. Salg,146 m² 19.863 kr/m²,5,2005,-6%,Aktuel værdi
Villa VVilla Æblehaven 1  7000 Fredericia,1.175.000 kr.,28-11-2022Alm. Salg,152 m² 7.730 kr/m²,5,1999,,Aktuel værdi
Villa VVilla Sybergsvej 12  7000 Fredericia,1.695.000 kr.,28-11-2022Alm. Salg,181 m² 9.365 kr/m²,6,1973,,Aktuel værdi
Rækkehus RRækkehus Marstrandsvænget 16  7000 Fredericia,900.000 kr.,24-11-2022Alm. Salg,80 m² 11.250 kr/m²,3,1966,-10%,Aktuel værdi
Ejerlejlighed EEjerlejlighed Prinsensgade 6A  7000 Fredericia,1.175.000 kr.,23-11-2022Alm. Salg,79 m² 14.873 kr/m²,2,1870,-21%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Frederiks Promenade 17, 2. th  7000 Fredericia",4.495.000 kr.,23-11-2022Alm. Salg,142 m² 31.655 kr/m²,4,2022,,Aktuel værdi
Villa VVilla Martinsvej 21  7000 Fredericia,2.295.000 kr.,23-11-2022Alm. Salg,172 m² 13.343 kr/m²,8,1917,-4%,Aktuel værdi
Villa VVilla Druehaven 10  7000 Fredericia,1.175.000 kr.,23-11-2022Alm. Salg,136 m² 8.640 kr/m²,5,1979,-9%,Aktuel værdi
Villa VVilla Ellipsen 14  7000 Fredericia,673.603 kr.,23-11-2022Andet,99 m² 6.804 kr/m²,4,1988,,Aktuel værdi
Villa VVilla Snoghøj Landevej 99  7000 Fredericia,800.000 kr.,23-11-2022Alm. Salg,165 m² 4.848 kr/m²,5,1935,,Aktuel værdi
Villa VVilla Ægirsvej 50  7000 Fredericia,1.470.000 kr.,23-11-2022Alm. Salg,124 m² 11.855 kr/m²,4,1963,-5%,Aktuel værdi
Villa VVilla Erritsø Bygade 20  7000 Fredericia,1.148.000 kr.,22-11-2022Alm. Salg,120 m² 9.567 kr/m²,5,1974,,Aktuel værdi
Villa VVilla Gl. Landevej 21A  7000 Fredericia,1.290.000 kr.,21-11-2022Alm. Salg,108 m² 11.944 kr/m²,5,1979,-14%,Aktuel værdi
Villa VVilla Hagenørvej 60  7000 Fredericia,6.500.000 kr.,21-11-2022Alm. Salg,122 m² 53.279 kr/m²,4,1978,,Aktuel værdi
Villa VVilla Højgårdsvej 18  7000 Fredericia,2.150.000 kr.,21-11-2022Alm. Salg,182 m² 11.813 kr/m²,7,1998,-10%,Aktuel værdi
