Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Hesselvigvej 16  2770 Kastrup,3.425.000 kr.,29-12-2022Alm. Salg,117 m² 29.274 kr/m²,3,1964,-7%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Konvalvej 11, 2. th  2770 Kastrup",3.100.000 kr.,28-12-2022Alm. Salg,99 m² 31.313 kr/m²,4,1966,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kastruplundgade 68, 2. tv  2770 Kastrup",1.678.000 kr.,27-12-2022Alm. Salg,59 m² 28.441 kr/m²,3,1952,,Aktuel værdi
Villa VVilla Capellas Alle 21  2770 Kastrup,3.850.000 kr.,26-12-2022Alm. Salg,94 m² 40.957 kr/m²,4,1957,-10%,Aktuel værdi
Villa VVilla Nordstjerne Alle 12  2770 Kastrup,3.500.000 kr.,26-12-2022Alm. Salg,142 m² 24.648 kr/m²,4,1923,-10%,Aktuel værdi
Rækkehus RRækkehus Børkop Alle 61  2770 Kastrup,3.875.000 kr.,24-12-2022Alm. Salg,108 m² 35.880 kr/m²,4,1958,-3%,Aktuel værdi
Villa VVilla Malden Alle 3  2791 Dragør,3.550.000 kr.,24-12-2022Alm. Salg,128 m² 26.296 kr/m²,5,1972,-6%,Aktuel værdi
Villa VVilla Nøragersmindevej 147  2791 Dragør,2.600.000 kr.,22-12-2022Fam. Salg,155 m² 16.774 kr/m²,5,2001,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Helmer Søgårds Alle 4, 2. tv  2770 Kastrup",2.150.000 kr.,21-12-2022Alm. Salg,64 m² 33.594 kr/m²,3,1950,-12%,Aktuel værdi
Villa VVilla Kølkærvej 7  2770 Kastrup,3.575.000 kr.,21-12-2022Alm. Salg,140 m² 25.536 kr/m²,6,1958,-11%,Aktuel værdi
Rækkehus RRækkehus Saltværksvej 95  2770 Kastrup,2.900.000 kr.,20-12-2022Alm. Salg,123 m² 23.577 kr/m²,4,1944,-3%,Aktuel værdi
