Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Fuglehøjen 43  2730 Herlev,5.200.000 kr.,30-12-2022Alm. Salg,132 m² 39.394 kr/m²,6,1978,-4%,Aktuel værdi
Villa VVilla J E Pitznersvej 36  2730 Herlev,1.900.000 kr.,28-12-2022Fam. Salg,98 m² 19.388 kr/m²,5,1949,,Aktuel værdi
Rækkehus RRækkehus Kærlundevej 11  2730 Herlev,2.800.000 kr.,20-12-2022Alm. Salg,84 m² 33.333 kr/m²,3,1945,-3%,Aktuel værdi
Rækkehus RRækkehus Vingetoften 286  2730 Herlev,3.400.000 kr.,14-12-2022Alm. Salg,101 m² 33.663 kr/m²,4,1967,-3%,Aktuel værdi
Villa VVilla Gavlbakken 13  2730 Herlev,6.100.000 kr.,14-12-2022Alm. Salg,167 m² 36.527 kr/m²,5,1964,-3%,Aktuel værdi
Rækkehus RRækkehus Obovej 64  2730 Herlev,3.300.000 kr.,13-12-2022Alm. Salg,105 m² 31.429 kr/m²,4,1951,-6%,Aktuel værdi
Villa VVilla Sortsøvej 28  2730 Herlev,1.500.000 kr.,07-12-2022Alm. Salg,83 m² 18.072 kr/m²,4,1949,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Herlev Hovedgade 91, 1. tv  2730 Herlev",1.675.000 kr.,06-12-2022Alm. Salg,55 m² 30.455 kr/m²,2,1955,-1%,Aktuel værdi
Rækkehus RRækkehus Obovej 66  2730 Herlev,3.250.000 kr.,28-11-2022Alm. Salg,101 m² 32.178 kr/m²,4,1951,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hørkær 21B, 1. th  2730 Herlev",3.200.000 kr.,27-11-2022Alm. Salg,90 m² 35.556 kr/m²,4,2019,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Toggangen 7, 2. th  2730 Herlev",1.870.000 kr.,23-11-2022Alm. Salg,60 m² 31.167 kr/m²,2,1943,-4%,Aktuel værdi
Villa VVilla Dalbugten 1  2730 Herlev,1.150.000 kr.,23-11-2022Alm. Salg,107 m² 10.748 kr/m²,5,1962,,Aktuel værdi
Rækkehus RRækkehus Havlykkevej 55  2730 Herlev,4.100.000 kr.,20-11-2022Alm. Salg,104 m² 39.423 kr/m²,4,1967,-2%,Aktuel værdi
Rækkehus RRækkehus Fagotvej 96  2730 Herlev,1.166.667 kr.,16-11-2022Fam. Salg,92 m² 12.681 kr/m²,4,1956,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hørkær 21B, 6. th  2730 Herlev",3.700.000 kr.,16-11-2022Alm. Salg,98 m² 37.755 kr/m²,4,2019,-4%,Aktuel værdi
Rækkehus RRækkehus Sortemosevej 130  2730 Herlev,4.407.000 kr.,15-11-2022Alm. Salg,100 m² 44.070 kr/m²,4,1977,,Aktuel værdi
Rækkehus RRækkehus Vingetoften 76  2730 Herlev,3.200.000 kr.,13-11-2022Alm. Salg,107 m² 29.907 kr/m²,4,1969,-8%,Aktuel værdi
Rækkehus RRækkehus Vingetoften 234  2730 Herlev,2.900.000 kr.,09-11-2022Alm. Salg,101 m² 28.713 kr/m²,4,1967,-9%,Aktuel værdi
Villa VVilla Bjergbyvej 30  2730 Herlev,3.775.000 kr.,06-11-2022Alm. Salg,210 m² 17.976 kr/m²,5,0,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Herlev Hovedgade 99B, 3. 4  2730 Herlev",3.800.000 kr.,31-10-2022Alm. Salg,115 m² 33.043 kr/m²,4,1955,-5%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Herlev Hovedgade 89, st. th  2730 Herlev",2.200.000 kr.,25-10-2022Alm. Salg,67 m² 32.836 kr/m²,3,1955,-4%,Aktuel værdi
Villa VVilla Stadagervej 14  2730 Herlev,1.105.000 kr.,25-10-2022Alm. Salg,140 m² 7.893 kr/m²,6,1969,,Aktuel værdi
Villa VVilla Tokkerupvej 29  2730 Herlev,3.600.000 kr.,24-10-2022Alm. Salg,148 m² 24.324 kr/m²,6,1967,-10%,Aktuel værdi
Rækkehus RRækkehus Violinvej 38A  2730 Herlev,3.850.000 kr.,14-10-2022Alm. Salg,109 m² 35.321 kr/m²,4,1988,-4%,Aktuel værdi
Villa VVilla Gavlbakken 36  2730 Herlev,5.225.000 kr.,12-10-2022Alm. Salg,167 m² 31.287 kr/m²,6,1973,-8%,Aktuel værdi
Villa VVilla Barupvej 20  2730 Herlev,11.200.000 kr.,12-10-2022Alm. Salg,248 m² 45.161 kr/m²,7,2021,-7%,Aktuel værdi
Villa VVilla Klintekongevej 8C  2730 Herlev,6.150.000 kr.,12-10-2022Alm. Salg,159 m² 38.679 kr/m²,6,2016,-4%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Herlev Hovedgade 95, st. th  2730 Herlev",2.075.000 kr.,11-10-2022Alm. Salg,67 m² 30.970 kr/m²,3,1955,-3%,Aktuel værdi
Villa VVilla Mosebyvej 40  2730 Herlev,4.625.000 kr.,09-10-2022Alm. Salg,154 m² 30.032 kr/m²,5,1949,-7%,Aktuel værdi
Villa VVilla Elverhøjen 3A  2730 Herlev,3.530.000 kr.,06-10-2022Alm. Salg,163 m² 21.656 kr/m²,4,1929,-8%,Aktuel værdi
Villa VVilla Kamdalen 4  2730 Herlev,4.150.000 kr.,04-10-2022Alm. Salg,96 m² 43.229 kr/m²,4,1960,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hjortespringvej 44, st  2730 Herlev",1.700.000 kr.,02-10-2022Fam. Salg,79 m² 21.519 kr/m²,2,1930,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Elverhøjen 1C, st. tv  2730 Herlev",1.575.000 kr.,27-09-2022Alm. Salg,56 m² 28.125 kr/m²,2,1947,-9%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Hjortespringvej 83, 1. th  2730 Herlev",6.300.000 kr.,25-09-2022Alm. Salg,90 m² 70.000 kr/m²,3,1961,,Aktuel værdi
