Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Villa VVilla Strandvejen 18  6720 Fanø,1.125.000 kr.,26-12-2022Alm. Salg,105 m² 10.714 kr/m²,4,1890,,Aktuel værdi
Villa VVilla Buegangen 3  6720 Fanø,3.075.000 kr.,19-12-2022Alm. Salg,243 m² 12.654 kr/m²,8,1825,-12%,Aktuel værdi
Villa VVilla Kløverengen 8  6720 Fanø,2.940.000 kr.,18-12-2022Alm. Salg,149 m² 19.732 kr/m²,4,2009,-2%,Aktuel værdi
Rækkehus RRækkehus Vinkelvej 2  6720 Fanø,1.825.000 kr.,15-12-2022Alm. Salg,118 m² 15.466 kr/m²,6,1863,-9%,Aktuel værdi
Rækkehus RRækkehus Hovedgaden 92G  6720 Fanø,1.230.000 kr.,15-12-2022Alm. Salg,90 m² 13.667 kr/m²,3,1977,-12%,Aktuel værdi
Rækkehus RRækkehus Hovedgaden 6  6720 Fanø,2.051.000 kr.,04-12-2022Fam. Salg,122 m² 16.811 kr/m²,4,1877,,Aktuel værdi
Villa VVilla Granvej 4  6720 Fanø,1.750.000 kr.,19-11-2022Alm. Salg,165 m² 10.606 kr/m²,5,1972,-3%,Aktuel værdi
Villa VVilla Valdemarsvej 6  6720 Fanø,1.449.000 kr.,30-10-2022Andet,197 m² 7.355 kr/m²,6,1897,,Aktuel værdi
Villa VVilla Stadionvej 10  6720 Fanø,1.495.000 kr.,28-10-2022Alm. Salg,142 m² 10.528 kr/m²,5,1955,,Aktuel værdi
Rækkehus RRækkehus Dagmarsvej 8  6720 Fanø,2.600.000 kr.,04-10-2022Alm. Salg,181 m² 14.365 kr/m²,5,1806,,Aktuel værdi
Villa VVilla Hovedgaden 130  6720 Fanø,2.000.000 kr.,30-09-2022Alm. Salg,198 m² 10.101 kr/m²,5,1890,-5%,Aktuel værdi
Villa VVilla Bavnebjerg 55  6720 Fanø,1.850.000 kr.,29-09-2022Alm. Salg,139 m² 13.309 kr/m²,4,1997,-7%,Aktuel værdi
Villa VVilla Spelmanns Toft 26  6720 Fanø,2.498.000 kr.,04-09-2022Alm. Salg,173 m² 14.439 kr/m²,6,2008,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Toftevej 1, st  6720 Fanø",400.000 kr.,30-08-2022Alm. Salg,78 m² 5.128 kr/m²,2,1920,,Aktuel værdi
Villa VVilla Landevejen 72  6720 Fanø,306.108 kr.,30-08-2022Alm. Salg,108 m² 2.834 kr/m²,5,1924,,Aktuel værdi
Villa VVilla Præstevænget 3  6720 Fanø,1.550.000 kr.,30-08-2022Alm. Salg,150 m² 10.333 kr/m²,5,1965,-3%,Aktuel værdi
Villa VVilla Spelmanns Toft 45  6720 Fanø,2.925.000 kr.,08-08-2022Alm. Salg,175 m² 16.714 kr/m²,5,2014,-4%,Aktuel værdi
Villa VVilla Præstevænget 1  6720 Fanø,2.200.000 kr.,26-07-2022Alm. Salg,140 m² 15.714 kr/m²,6,1966,-12%,Aktuel værdi
Villa VVilla Vigensvej 13  6720 Fanø,2.050.000 kr.,13-07-2022Alm. Salg,159 m² 12.893 kr/m²,5,1810,-11%,Aktuel værdi
Villa VVilla Vester Land 71  6720 Fanø,1.630.000 kr.,04-07-2022Alm. Salg,172 m² 9.477 kr/m²,6,1979,,Aktuel værdi
Villa VVilla Landevejen 25  6720 Fanø,1.850.000 kr.,26-06-2022Alm. Salg,95 m² 19.474 kr/m²,4,1960,-7%,Aktuel værdi
