,value,parameter,muni_code
0,0.0,1,860
1,0.0,erhvervsindkomst,860
2,-0.0,formueindkomst,860
3,-0.0,anden_personlig_indkomst,860
4,-0.0,kont_recip_tot,860
5,0.0,gini_index,860
6,-0.0,unemployed,860
7,0.0,pop_den,860
8,0.08550237509475209,erhvervsindkomst^2,860
9,0.0012261321893669078,erhvervsindkomst formueindkomst,860
10,0.0,erhvervsindkomst anden_personlig_indkomst,860
11,-0.0,erhvervsindkomst kont_recip_tot,860
12,0.005125625228650199,erhvervsindkomst gini_index,860
13,-0.0,erhvervsindkomst unemployed,860
14,-0.003285906878565119,erhvervsindkomst pop_den,860
15,0.22724588310688942,formueindkomst^2,860
16,0.01782691842901363,formueindkomst anden_personlig_indkomst,860
17,-0.13940115403301234,formueindkomst kont_recip_tot,860
18,-0.07659901356823574,formueindkomst gini_index,860
19,0.2264987194554766,formueindkomst unemployed,860
20,-0.0033084175331809917,formueindkomst pop_den,860
21,-0.054591204982054956,anden_personlig_indkomst^2,860
22,0.2154145857636626,anden_personlig_indkomst kont_recip_tot,860
23,-0.04758360889705542,anden_personlig_indkomst gini_index,860
24,-0.09506139451393561,anden_personlig_indkomst unemployed,860
25,-0.005888683209799395,anden_personlig_indkomst pop_den,860
26,0.01813419839116098,kont_recip_tot^2,860
27,0.009796412180872318,kont_recip_tot gini_index,860
28,-0.04402811288488305,kont_recip_tot unemployed,860
29,-0.008072855983042963,kont_recip_tot pop_den,860
30,0.047678172667074026,gini_index^2,860
31,-0.013328332018691623,gini_index unemployed,860
32,-0.005013203704608875,gini_index pop_den,860
33,0.05719993756906372,unemployed^2,860
34,0.0009306638255999814,unemployed pop_den,860
35,0.0033712387998881,pop_den^2,860
36,0.0,housing_type_Ejerlejlighed,860
37,0.6006413208433454,housing_type_Rækkehus,860
38,-0.7320442897134326,housing_type_Villa,860
39,0.0,1,851
40,0.542461488024049,erhvervsindkomst,851
41,0.0672163255786333,formueindkomst,851
42,0.0,anden_personlig_indkomst,851
43,0.0,kont_recip_tot,851
44,0.12810776395960197,gini_index,851
45,0.0,unemployed,851
46,0.002166195835099325,pop_den,851
47,0.0,housing_type_Rækkehus,851
48,0.0,housing_type_Ejerlejlighed,851
49,-0.6085269469806139,housing_type_Villa,851
50,0.0,1,849
51,0.0,erhvervsindkomst,849
52,-0.0,formueindkomst,849
53,-0.0,anden_personlig_indkomst,849
54,-0.0,kont_recip_tot,849
55,0.0,gini_index,849
56,-0.0,unemployed,849
57,-0.0,pop_den,849
58,0.01569982328788567,erhvervsindkomst^2,849
59,-0.0,erhvervsindkomst formueindkomst,849
60,0.0,erhvervsindkomst anden_personlig_indkomst,849
61,0.0,erhvervsindkomst kont_recip_tot,849
62,0.0,erhvervsindkomst gini_index,849
63,-0.0,erhvervsindkomst unemployed,849
64,0.006511402851524813,erhvervsindkomst pop_den,849
65,-0.017868250349159762,formueindkomst^2,849
66,-0.0037791058791882748,formueindkomst anden_personlig_indkomst,849
67,-0.0,formueindkomst kont_recip_tot,849
68,-0.0,formueindkomst gini_index,849
69,0.0,formueindkomst unemployed,849
70,0.00022875757360552582,formueindkomst pop_den,849
71,-0.0,anden_personlig_indkomst^2,849
72,0.007845273285428707,anden_personlig_indkomst kont_recip_tot,849
73,-0.0022740955052650436,anden_personlig_indkomst gini_index,849
74,-0.0,anden_personlig_indkomst unemployed,849
75,-0.00010301641345228371,anden_personlig_indkomst pop_den,849
76,-0.011460309368799057,kont_recip_tot^2,849
77,0.0,kont_recip_tot gini_index,849
78,-0.0,kont_recip_tot unemployed,849
79,-0.001128075133659117,kont_recip_tot pop_den,849
80,-0.012137885350407296,gini_index^2,849
81,-0.0,gini_index unemployed,849
82,0.0012773059625588866,gini_index pop_den,849
83,0.06914599978801698,unemployed^2,849
84,-0.0017074086337730864,unemployed pop_den,849
85,-0.0007937072450656138,pop_den^2,849
86,-0.0,housing_type_Ejerlejlighed,849
87,0.7726075839553868,housing_type_Rækkehus,849
88,-0.3827600516477652,housing_type_Villa,849
89,0.0,1,846
90,0.28128373293563086,erhvervsindkomst,846
91,0.06102000448803807,formueindkomst,846
92,0.14065377494623926,anden_personlig_indkomst,846
93,-0.1287752954906865,kont_recip_tot,846
94,0.21799071195278344,gini_index,846
95,-0.11795294802457756,unemployed,846
96,-0.04718757118298847,pop_den,846
97,0.20961073567668417,housing_type_Ejerlejlighed,846
98,0.41158514555116366,housing_type_Rækkehus,846
99,-0.6211958812278476,housing_type_Villa,846
100,0.0,1,840
101,0.4261841367221871,erhvervsindkomst,840
102,0.03851205619942204,formueindkomst,840
103,-0.0,anden_personlig_indkomst,840
104,-0.07569486343147433,kont_recip_tot,840
105,0.010664598118339186,gini_index,840
106,-0.0,unemployed,840
107,0.28678530297733473,pop_den,840
108,0.0,housing_type_Ejerlejlighed,840
109,0.0,housing_type_Rækkehus,840
110,-0.9636138484801476,housing_type_Villa,840
111,0.0,1,825
112,-0.0,erhvervsindkomst,825
113,-0.1276140491247743,formueindkomst,825
114,0.08651292775855009,anden_personlig_indkomst,825
115,-0.16621971271767677,kont_recip_tot,825
